Hostname,x,y,area statistica,zona di prossimità,geopoint,Attivo
Dumbo-B-SecondoPiano,11.3269257545471,44.5048309893464,SCALO RAVONE,SAFFI,"44.5048309893464, 11.3269257545471",Sì
Dumbo-D-Cortile,11.325520277,44.5056726717,SCALO RAVONE,SAFFI,"44.5056726717, 11.325520277",Sì
Dumbo-D-Laboratorio,11.325520277,44.5056726717,SCALO RAVONE,SAFFI,"44.5056726717, 11.325520277",Sì
Faenza2-1,11.3886165618896,44.4738677655539,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4738677655539, 11.3886165618896",Sì
GolinelliSerra,11.34883,44.48325,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.48325, 11.34883",Sì
Lombardia36-2,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-3,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-6,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-8,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
MAMBO-C-Cavaticcio,11.335927248,44.5026999483,MARCONI-2,MARCONI,"44.5026999483, 11.335927248",Sì
MAMBO-C-didattica,11.3369250298,44.502447432,MARCONI-2,MARCONI,"44.502447432, 11.3369250298",Sì
mtik-bolognetti2-4,11.3547670841,44.4939109722,IRNERIO-2,IRNERIO,"44.4939109722, 11.3547670841",Sì
mtik-galvani1-manoscritti,11.3436037302,44.4921277619,GALVANI-1,GALVANI,"44.4921277619, 11.3436037302",Sì
mtik-galvani1-salalettura,11.3436037302,44.4921277619,GALVANI-1,GALVANI,"44.4921277619, 11.3436037302",Sì
mtik-genova10-1,11.3917279243,44.4740591596,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4740591596, 11.3917279243",Sì
mtik-legnano2-1,11.26557827,44.5229283066,DUCATI-VILLAGGIO INA,BORGO PANIGALE,"44.5229283066, 11.26557827",Sì
mtik-sanmamolo24-giardino,11.3394516706,44.4842519018,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4842519018, 11.3394516706",Sì
mtik-sanmamolo24-salalettura,11.339293,44.484207,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.484207, 11.339293",Sì
mtik-scalo21-2-giardino,11.3284009695,44.5023900418,ZANARDI,SAFFI,"44.5023900418, 11.3284009695",Sì
PAL-B-Lab Aperti PrimoPiano,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-B-Lab Aperti Sala Lampadario,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-B-Lab Aperti Uffici 2,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-B-Orologi,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-D-SalaImbeni,11.3419783115,44.4940640349,MALPIGHI-1,MALPIGHI,"44.4940640349, 11.3419783115",Sì
PAL-O-CortileOnore,11.3422894478,44.4939454114,MALPIGHI-1,MALPIGHI,"44.4939454114, 11.3422894478",Sì
Pal-O-URP-PAPA,11.3424557447,44.4939645442,MALPIGHI-1,MALPIGHI,"44.4939645442, 11.3424557447",Sì
Pal-Podesta-Ovest,11.3429546356,44.4940449021,GALVANI-1,GALVANI,"44.4940449021, 11.3429546356",Sì
PAL-Q-Stampa,11.3419300318,44.4940219427,MALPIGHI-1,MALPIGHI,"44.4940219427, 11.3419300318",Sì
PAL-SB-A1-Sala Biagi E,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A2-Adolescenti,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A2-Esedra,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A3-PrimoBallatoio-Balaustra,11.3415920734,44.4947681183,MALPIGHI-1,MALPIGHI,"44.4947681183, 11.3415920734",Sì
PAL-SB-A3-PrimoBallatoio-Nord,11.3415920734,44.4947681183,MALPIGHI-1,MALPIGHI,"44.4947681183, 11.3415920734",Sì
PAL-SB-A4-SecondoBallatoio-Atelier,11.3417637348,44.4946341901,MALPIGHI-1,MALPIGHI,"44.4946341901, 11.3417637348",Sì
PAL-S-CFarnese,11.3421016932,44.4939760239,MALPIGHI-1,MALPIGHI,"44.4939760239, 11.3421016932",Sì
PAL-T-Consiglio,11.3423967361,44.4941520458,MALPIGHI-1,MALPIGHI,"44.4941520458, 11.3423967361",Sì
PAL-V-Sala Anziani,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
Parco della Zucca,11.3500356674,44.5129488916,VIA FERRARESE,BOLOGNINA,"44.5129488916, 11.3500356674",Sì
Patrimonio-Industriale-A-Biblioteca,11.3344466686,44.5217426472,BEVERARA,BEVERARA,"44.5217426472, 11.3344466686",Sì
Populonia2-2,11.38425529,44.4889400419,FOSSOLO,FOSSOLO - DUE MADONNE,"44.4889400419, 11.38425529",Sì
Q.NavileSaliceto-B-Consiglio,11.3508832455,44.5133390733,VIA FERRARESE,BOLOGNINA,"44.5133390733, 11.3508832455",Sì
Q.Saragozza-A-SalaConsiglio,11.331152916,44.4947413327,MALPIGHI-2,MALPIGHI,"44.4947413327, 11.331152916",Sì
Q.SDonato-A-ZonaPresidente,11.3674485683,44.504731517,MICHELINO,SAN DONATO VECCHIO,"44.504731517, 11.3674485683",Sì
Q.SStefano-A-SalaBiagi,11.3546222448,44.4853120285,GALVANI-2,GALVANI,"44.4853120285, 11.3546222448",Sì
Salone-indiano-1,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Salone-indiano-5,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-3,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-6,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-8,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-9,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
tnervi-nordcentro,11.3399881124,44.5109749911,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5109749911, 11.3399881124",Sì
tnervi-sudcentro,11.339918375,44.5106536522,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5106536522, 11.339918375",Sì
tnervi-sudovest,11.3395696878,44.5106842559,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5106842559, 11.3395696878",Sì
Villa Torchi-Cortile,11.35882,44.54426,SAN SAVINO,CORTICELLA - DOZZA,"44.54426, 11.35882",Sì
wifi-velostazione-esterno,11.345320344,44.5035340096,IRNERIO-2,IRNERIO,"44.5035340096, 11.345320344",Sì
ap-lepida-arboreto-2,11.384636,44.50761,PILASTRO,SAN DONATO NUOVO,"44.50761, 11.384636",Sì
ap-lepida-malpighi-1,11.3364905119,44.4942285769,MALPIGHI-1,MALPIGHI,"44.4942285769, 11.3364905119",Sì
ap-lepida-mercatoalbani-1,11.34378,44.51032,PIAZZA DELL'UNITA',BOLOGNINA,"44.51032, 11.34378",Sì
ap-lepida-ss15-drusiani2-1,11.3518327474594,44.4821545547789,GIARDINI MARGHERITA,MURRI,"44.4821545547789, 11.3518327474594",Sì
ap-lepida-unita-2,11.34702,44.51137,PIAZZA DELL'UNITA',BOLOGNINA,"44.51137, 11.34702",Sì
Asinelli-MetaTorre,11.34671,44.49429,IRNERIO-1,IRNERIO,"44.49429, 11.34671",Sì
Asinelli-Ravegnana2,11.3466453552,44.4941941379,IRNERIO-1,IRNERIO,"44.4941941379, 11.3466453552",Sì
Aster2,11.34882,44.48319,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.48319, 11.34882",Sì
Bolognetti-B-Ingresso,11.3549441099,44.493666071,IRNERIO-2,IRNERIO,"44.493666071, 11.3549441099",Sì
Bolognetti-B-Quadriportico,11.3547134399,44.4936316317,IRNERIO-2,IRNERIO,"44.4936316317, 11.3547134399",Sì
Bolognetti-D-Cortile,11.3547134399,44.4936316317,IRNERIO-2,IRNERIO,"44.4936316317, 11.3547134399",Sì
BON-A01-NOvest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
BON-A02-NOvest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
BON-A03-Ovest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
Cineteca-AzzoG-A-Biblioteca,11.3348919153,44.5027076003,MARCONI-2,MARCONI,"44.5027076003, 11.3348919153",Sì
cwmtik-battindarno123-1,11.2967669964,44.5022255228,BATTINDARNO,BARCA,"44.5022255228, 11.2967669964",Sì
cwmtik-casaglia7-2,11.3151562214,44.4872829709,RAVONE,SARAGOZZA - SAN LUCA,"44.4872829709, 11.3151562214",Sì
cwmtik-casaglia7-4,11.3151562214,44.4872829709,RAVONE,SARAGOZZA - SAN LUCA,"44.4872829709, 11.3151562214",Sì
cwmtik-casini3-pianoprimo,11.3936644792557,44.5112925028773,PILASTRO,SAN DONATO NUOVO,"44.5112925028773, 11.3936644792557",Sì
cwmtik-donminzoni14-biblioteca-1,11.336286664,44.5026655143,MARCONI-2,MARCONI,"44.5026655143, 11.336286664",Sì
cwmtik-donminzoni14-biblioteca-2,11.3363724947,44.5027726422,MARCONI-2,MARCONI,"44.5027726422, 11.3363724947",Sì
cwmtik-donminzoni14-ciminiere2,11.3367533684,44.5025430822,MARCONI-2,MARCONI,"44.5025430822, 11.3367533684",Sì
cwmtik-galeazza2-pianoterra,11.2770366669,44.5029180297,CASTELDEBOLE,CASTELDEBOLE - PONTELUNGO,"44.5029180297, 11.2770366669",Sì
cwmtik-galeazza2-pianoterra2,11.2770366669,44.5029180297,CASTELDEBOLE,CASTELDEBOLE - PONTELUNGO,"44.5029180297, 11.2770366669",Sì
cwmtik-marcopolo21-2,11.3296937943,44.5184456225,BEVERARA,BEVERARA,"44.5184456225, 11.3296937943",Sì
cwmtik-marcopolo21-3,11.3296937943,44.5184456225,BEVERARA,BEVERARA,"44.5184456225, 11.3296937943",Sì
cwmtik-marcopolo53-associazioni,11.329098,44.519085,BEVERARA,BEVERARA,"44.519085, 11.329098",Sì
cwmtik-musei8-bib-archeologico,11.344384,44.493149,GALVANI-1,GALVANI,"44.493149, 11.344384",Sì
cwmtik-musei8-bookshop,11.3440811634,44.4927247225,GALVANI-1,GALVANI,"44.4927247225, 11.3440811634",Sì
cwmtik-musei8-egizio-2,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-musei8-egizio-3,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-musei8-SalaMostre-1,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-musei8-SalaMostre-2,11.3444834948,44.4926558427,GALVANI-1,GALVANI,"44.4926558427, 11.3444834948",Sì
cwmtik-scalo21-1,11.32911,44.50276,ZANARDI,SAFFI,"44.50276, 11.32911",Sì
cwmtik-scandellara50-2,11.3833272457,44.4968229217,SCANDELLARA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.4968229217, 11.3833272457",Sì
cwmtik-scandellara50-3,11.3833272457,44.4968229217,SCANDELLARA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.4968229217, 11.3833272457",Sì
cwmtik-spadolini7-piano0-urpattesa,11.3675451279,44.5045478753,MICHELINO,SAN DONATO VECCHIO,"44.5045478753, 11.3675451279",Sì
cwmtik-spadolini7-piano0-urpscuola,11.3675451279,44.5045478753,MICHELINO,SAN DONATO VECCHIO,"44.5045478753, 11.3675451279",Sì
cwmtik-spadolini7-piano1-ufficioscuola,11.3675451279,44.5045478753,MICHELINO,SAN DONATO VECCHIO,"44.5045478753, 11.3675451279",Sì
cwmtik-spadolini7-piano2-sud,11.3675451279,44.5045478753,MICHELINO,SAN DONATO VECCHIO,"44.5045478753, 11.3675451279",Sì
Dumbo-A-Palco,11.3255202770233,44.505672671706,SCALO RAVONE,SAFFI,"44.505672671706, 11.3255202770233",Sì
Dumbo-B-PianoTerra,11.3272154331207,44.5047238652652,SCALO RAVONE,SAFFI,"44.5047238652652, 11.3272154331207",Sì
Dumbo-D-SalaStudio,11.325520277,44.5056726717,SCALO RAVONE,SAFFI,"44.5056726717, 11.325520277",Sì
Faenza2-2,11.3887292146683,44.4738103472046,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4738103472046, 11.3887292146683",Sì
Faenza2-4,11.3887238502502,44.4739175280776,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4739175280776, 11.3887238502502",Sì
Ferrari42 Urp,11.3902258872986,44.5034995760709,VIA LARGA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.5034995760709, 11.3902258872986",Sì
GolinelliUffici,11.34902,44.48324,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.48324, 11.34902",Sì
Industria2-1,11.39018,44.50452,VIA LARGA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.50452, 11.39018",Sì
KatiaBertasi-SalaPolivalente,11.3402992486954,44.5114722979245,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5114722979245, 11.3402992486954",Sì
Kilowatt-LatoOrto,11.3494884968,44.4833716376,GIARDINI MARGHERITA,MURRI,"44.4833716376, 11.3494884968",Sì
Kilowatt-LatoPalco,11.3494026661,44.4831420013,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4831420013, 11.3494026661",Sì
Kilowatt-SalaCoworking-p1,11.3492953777313,44.4832797832019,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4832797832019, 11.3492953777313",Sì
Kilowatt-SalaCoworking-PT,11.3494026661,44.4832415105,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4832415105, 11.3494026661",Sì
Lombardia36-1,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-10,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-4,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
MAMBO-C-conferenze,11.3369250298,44.502447432,MARCONI-2,MARCONI,"44.502447432, 11.3369250298",Sì
MAMBO-C-foyer,11.3367533684,44.5025430822,MARCONI-2,MARCONI,"44.5025430822, 11.3367533684",Sì
MercatoSonatoBar,11.36215,44.50208,VIA MONDO,SAN DONATO VECCHIO,"44.50208, 11.36215",Sì
mtik-bolognetti2-2,11.3547670841,44.4939109722,IRNERIO-2,IRNERIO,"44.4939109722, 11.3547670841",Sì
mtik-bolognetti2-3,11.3547670841,44.4939109722,IRNERIO-2,IRNERIO,"44.4939109722, 11.3547670841",Sì
mtik-genova10-2,11.3918352127,44.4741663401,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4741663401, 11.3918352127",Sì
mtik-gorki10-2-centofiori,11.3600027561,44.5463343994,SAN SAVINO,CORTICELLA - DOZZA,"44.5463343994, 11.3600027561",Sì
mtik-piombo7-1-bib-donne,11.355625391,44.4883047731,GALVANI-2,GALVANI,"44.4883047731, 11.355625391",Sì
mtik-santostefano119-sottotetto,11.3542950153,44.4853196828,GALVANI-2,GALVANI,"44.4853196828, 11.3542950153",Sì
PAL-B-Lab Aperti Uffici 1,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-B-Tassinari,11.342010498,44.4939721974,MALPIGHI-1,MALPIGHI,"44.4939721974, 11.342010498",Sì
PAL-H-CortilePozzo,11.3416779041,44.4942017911,MALPIGHI-1,MALPIGHI,"44.4942017911, 11.3416779041",Sì
PAL-N-Informagiovani,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-N-Lab Aperti Uffici 1,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-Q-Cerimonieri,11.3423484564,44.4942553628,MALPIGHI-1,MALPIGHI,"44.4942553628, 11.3423484564",Sì
PAL-SB-A1-Lab Aperti Bramante,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A1-Sala Biagi S,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A1-ScuderiaW,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A3-SalaIncontri,11.3415920734,44.4947681183,MALPIGHI-1,MALPIGHI,"44.4947681183, 11.3415920734",Sì
PAL-S-TorreMeccanismo,11.34217,44.49364,MALPIGHI-1,MALPIGHI,"44.49364, 11.34217",Sì
PAL-S-TorreTerrazza,11.34217,44.49364,MALPIGHI-1,MALPIGHI,"44.49364, 11.34217",Sì
PAL-U-Lab Aperti Plastico,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
Parco11Settembre,11.3368660212,44.4990804434,MARCONI-2,MARCONI,"44.4990804434, 11.3368660212",Sì
Patrimonio-Industriale-A-Auditorium,11.3344466686,44.5217426472,BEVERARA,BEVERARA,"44.5217426472, 11.3344466686",Sì
PMedaglieDoro,11.34337,44.50527,MARCONI-2,MARCONI,"44.50527, 11.34337",Sì
Populonia2-1,11.3840031624,44.4889400419,FOSSOLO,FOSSOLO - DUE MADONNE,"44.4889400419, 11.3840031624",Sì
Q.Porto-D-Parco,11.3299512863,44.5021834365,ZANARDI,SAFFI,"44.5021834365, 11.3299512863",Sì
Q.SDonato-A-Parco,11.3673949242,44.5049228098,MICHELINO,SAN DONATO VECCHIO,"44.5049228098, 11.3673949242",Sì
Q.SDonato-A-PiazzaSpadolini,11.3673788309,44.5045440494,MICHELINO,SAN DONATO VECCHIO,"44.5045440494, 11.3673788309",Sì
Q.SDonato-A-SalaConsiglio,11.3673841953,44.5047850791,MICHELINO,SAN DONATO VECCHIO,"44.5047850791, 11.3673841953",Sì
Q.SStefano-C-URP,11.3546222448,44.4853120285,GALVANI-2,GALVANI,"44.4853120285, 11.3546222448",Sì
