id,Quartiere,room_type,Prezzo,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_reviews_ltm,license,Zona di prossimità,Area statistica,Coordinate
631741537086206804,Porto - Saragozza,Entire home/apt,379.0,2,2,2024-03-23,0.18,57,2,,SARAGOZZA - SAN LUCA,XXI APRILE,"44.49451, 11.31518"
632584882226727018,Santo Stefano,Entire home/apt,85.0,3,35,2024-03-17,1.72,267,22,,GALVANI,GALVANI-2,"44.487091, 11.340505"
633028497729938774,Porto - Saragozza,Entire home/apt,100.0,2,59,2024-03-24,2.66,175,23,,MALPIGHI,MALPIGHI-2,"44.492844, 11.335336"
634684035602279911,Porto - Saragozza,Private room,35.0,30,5,2024-02-29,0.29,81,3,,SARAGOZZA - SAN LUCA,XXI APRILE,"44.492031, 11.312564"
635173755592341423,Santo Stefano,Private room,58.0,1,20,2023-09-29,0.97,356,11,,OSSERVANZA - PADERNO,PADERNO,"44.48029, 11.32473"
635206892637339990,Santo Stefano,Private room,124.0,1,3,2023-04-08,0.14,344,1,Non e registrato,MURRI,MEZZOFANTI,"44.48109, 11.36232"
635338984302716933,Santo Stefano,Entire home/apt,104.0,2,59,2024-03-10,3.15,127,44,1,IRNERIO,IRNERIO-2,"44.49145, 11.35481"
638291627411687407,Santo Stefano,Entire home/apt,325.0,1,39,2024-03-01,1.81,182,18,,IRNERIO,IRNERIO-2,"44.504051, 11.351091"
639151906774216399,Santo Stefano,Private room,80.0,1,58,2024-03-09,2.67,265,13,,GALVANI,GALVANI-2,"44.488834, 11.342997"
639154902770995880,Santo Stefano,Private room,138.0,1,60,2023-08-31,2.78,293,12,,GALVANI,GALVANI-2,"44.488834, 11.342997"
639174318860290718,Porto - Saragozza,Private room,50.0,3,12,2024-03-20,0.56,40,3,,MARCONI,MARCONI-2,"44.49986, 11.34354"
642124265731793614,Santo Stefano,Entire home/apt,45.0,2,37,2024-03-11,1.77,286,19,,MURRI,CHIESANUOVA,"44.47564, 11.37073"
643251014075681533,Porto - Saragozza,Entire home/apt,80.0,1,18,2023-08-26,0.83,68,3,,MALPIGHI,MALPIGHI-2,"44.49064, 11.33503"
644130396820022600,Santo Stefano,Entire home/apt,143.0,1,56,2024-02-03,2.59,93,16,,IRNERIO,IRNERIO-2,"44.49747, 11.34878"
644171645427690167,Porto - Saragozza,Private room,100.0,1,21,2023-10-31,0.99,342,11,,SAFFI,SCALO RAVONE,"44.50649, 11.32929"
644248253172448190,Navile,Entire home/apt,109.0,2,8,2023-09-29,0.38,310,3,,BOLOGNINA,VIA FERRARESE,"44.51886, 11.35266"
644752352253092368,Porto - Saragozza,Entire home/apt,88.0,2,17,2024-01-02,0.87,51,13,,MALPIGHI,MARCONI-1,"44.49651, 11.34078"
646039724765694291,Santo Stefano,Entire home/apt,172.0,1,119,2024-03-10,5.66,223,60,037006-CV-00495,GALVANI,GALVANI-2,"44.4876718, 11.3428784"
647885579864408861,Santo Stefano,Entire home/apt,100.0,3,15,2023-08-06,0.72,0,9,,GALVANI,GALVANI-1,"44.49368, 11.34495"
649739438432717010,Santo Stefano,Entire home/apt,159.0,2,0,,,121,0,037006-AT-02153,GALVANI,GALVANI-2,"44.49003, 11.35583"
651228999601473201,Porto - Saragozza,Entire home/apt,,1,3,2023-06-24,0.25,84,3,,SAFFI,VIA VITTORIO VENETO,"44.49923, 11.3211"
651941158582493032,Santo Stefano,Entire home/apt,107.0,2,29,2023-10-01,1.38,310,11,,IRNERIO,IRNERIO-2,"44.4998984, 11.3491819"
653894220894867628,Porto - Saragozza,Entire home/apt,162.0,2,52,2024-03-24,2.49,189,41,Protocollo Generale Numero 391629 del 23/06/2022 - CIR 037006 - AT- 02314,MALPIGHI,MALPIGHI-2,"44.49232506734427, 11.337357871234415"
654175482758582200,Navile,Private room,109.0,1,1,2023-05-15,0.1,130,1,037006-AF-00212,BOLOGNINA,PIAZZA DELL'UNITA',"44.5097306, 11.3490448"
655459441346150033,Santo Stefano,Entire home/apt,140.0,3,28,2024-02-25,1.34,123,15,037006-AT-02330,IRNERIO,IRNERIO-1,"44.49736, 11.34428"
656810831640371308,San Donato - San Vitale,Private room,97.0,2,0,,,163,0,,CIRENAICA - MASSARENTI - SCANDELLARA,VIA LARGA,"44.49683, 11.39303"
658556747752748106,Porto - Saragozza,Entire home/apt,92.0,3,30,2024-01-02,1.44,111,15,037006-AT-02331,MALPIGHI,MALPIGHI-2,"44.49241, 11.33713"
660184093011599750,San Donato - San Vitale,Private room,32.0,2,0,,,357,0,,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.48654, 11.36711"
661983176968903459,Navile,Entire home/apt,164.0,2,38,2024-01-01,1.83,292,22,,BOLOGNINA,PIAZZA DELL'UNITA',"44.5111629, 11.3516027"
662939087844598497,Santo Stefano,Entire home/apt,130.0,1,18,2023-10-16,0.89,47,10,,IRNERIO,IRNERIO-2,"44.49888, 11.34939"
663084548795747704,Santo Stefano,Entire home/apt,412.0,1,19,2023-06-30,0.93,47,10,037006-AF-00534,GALVANI,GALVANI-1,"44.4938, 11.34272"
664173458101847201,Porto - Saragozza,Entire home/apt,56.0,1,5,2024-02-27,0.45,167,5,037006-CV-00198,MALPIGHI,MALPIGHI-2,"44.4955688, 11.3312347"
665794877159114798,Porto - Saragozza,Entire home/apt,201.0,1,15,2024-02-18,0.91,177,8,037006-CV-00172,MALPIGHI,MARCONI-1,"44.49654, 11.33943"
665801095824626300,Porto - Saragozza,Entire home/apt,201.0,1,17,2024-03-14,0.9,145,11,037006-CV-00172,MALPIGHI,MALPIGHI-1,"44.49533, 11.33975"
667294436972557186,Santo Stefano,Entire home/apt,74.0,1,149,2024-03-22,7.21,251,104,,GALVANI,GALVANI-2,"44.4872625, 11.3500666"
671777774452333790,Santo Stefano,Private room,40.0,1,13,2023-10-13,0.63,66,1,,IRNERIO,IRNERIO-1,"44.4959076, 11.3506178"
673479340314500055,Porto - Saragozza,Private room,43.0,2,0,,,99,0,,SAFFI,ZANARDI,"44.50111, 11.32624"
674412285252202025,Navile,Entire home/apt,71.0,1,20,2023-12-26,0.99,311,10,037006-AT-02325,BOLOGNINA,VIA FERRARESE,"44.51704, 11.3496"
676693649542729338,Porto - Saragozza,Entire home/apt,104.0,3,30,2023-12-22,1.61,101,17,037006-AT-02373,MARCONI,MARCONI-2,"44.4974, 11.33559"
678053022103195342,Porto - Saragozza,Private room,,2,79,2023-12-10,3.92,0,36,,MALPIGHI,MALPIGHI-2,"44.49215, 11.33543"
678086016492782525,Santo Stefano,Entire home/apt,104.0,2,60,2024-03-20,3.0,104,35,,IRNERIO,IRNERIO-1,"44.49466, 11.34784"
678102454063814588,San Donato - San Vitale,Entire home/apt,113.0,2,77,2024-03-04,3.84,49,42,037006-AT-02390,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.49262837693035, 11.363267169311534"
678853623951460087,San Donato - San Vitale,Private room,44.0,2,58,2024-03-23,3.04,313,43,037006-BB-01037,SAN DONATO VECCHIO,MICHELINO,"44.5063717, 11.3715147"
683122702203175014,San Donato - San Vitale,Private room,108.0,1,23,2024-02-10,1.25,97,20,037006-AF-00331,SAN DONATO VECCHIO,VIA DEL LAVORO,"44.506624, 11.3582752"
685182189349662943,Borgo Panigale - Reno,Entire home/apt,,1,0,,,88,0,037006-CV-00250,BARCA,CANALE DI RENO,"44.4906732302864, 11.2914814129669"
685244086954748276,San Donato - San Vitale,Entire home/apt,63.0,1,7,2023-10-13,0.36,2,4,,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.49087, 11.3708"
686837370055951525,San Donato - San Vitale,Private room,56.0,1,19,2024-03-23,1.05,33,11,,CIRENAICA - MASSARENTI - SCANDELLARA,SCANDELLARA,"44.49569, 11.38212"
687516103295393365,San Donato - San Vitale,Entire home/apt,164.0,1,3,2023-05-20,0.18,166,1,,CROCE DEL BIACCO - ROVERI,CROCE DEL BIACCO,"44.49081, 11.39115"
688202799129476351,Porto - Saragozza,Private room,31.0,1,122,2024-03-08,6.4,34,93,,SARAGOZZA - SAN LUCA,XXI APRILE,"44.49721, 11.31525"
691139467195099510,Navile,Private room,27.0,1,127,2024-03-19,6.48,39,82,,CORTICELLA - DOZZA,SAN SAVINO,"44.5502556, 11.3539804"
691165036691379906,Navile,Entire home/apt,77.0,1,3,2023-11-13,0.42,338,3,465902,BOLOGNINA,PIAZZA DELL'UNITA',"44.5084479, 11.3430276"
692063169828367841,Borgo Panigale - Reno,Entire home/apt,,1,100,2024-03-03,5.25,35,26,CIR 037006-AF-00536,BARCA,BATTINDARNO,"44.50415, 11.29322"
694766619548989135,Porto - Saragozza,Entire home/apt,103.0,1,78,2024-03-22,4.11,13,50,,MARCONI,MARCONI-2,"44.5003888, 11.3406902"
697052242100723057,Porto - Saragozza,Private room,,2,9,2024-02-25,0.47,1,7,,SAFFI,PRATI DI CAPRARA-OSPEDALE MAGGIORE,"44.50177, 11.32199"
700735983502293792,San Donato - San Vitale,Entire home/apt,268.0,3,30,2024-03-03,1.72,135,23,037006-AT-02425,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.497804141261504, 11.357561275362968"
701407313238092236,Porto - Saragozza,Private room,68.0,2,130,2024-03-21,6.88,295,80,037006-BB-01063,SARAGOZZA - SAN LUCA,SAN GIUSEPPE,"44.492112, 11.328871"
702813443895558531,Porto - Saragozza,Private room,53.0,1,55,2024-03-23,3.03,10,33,,MARCONI,MARCONI-2,"44.49943, 11.32863"
704761898385212537,Santo Stefano,Private room,288.0,1,7,2023-05-07,0.37,362,2,,OSSERVANZA - PADERNO,PADERNO,"44.48001, 11.32475"
704783206756023131,San Donato - San Vitale,Entire home/apt,58.0,1,24,2024-03-01,1.77,27,22,037006-CV-00198,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.4995246, 11.3568854"
706206018804068302,San Donato - San Vitale,Entire home/apt,89.0,2,21,2024-03-08,1.65,228,19,,SAN DONATO VECCHIO,SAN DONNINO,"44.509390274569846, 11.377973556497372"
706558221811435096,Porto - Saragozza,Entire home/apt,185.0,3,35,2024-03-17,1.89,96,19,,MALPIGHI,MALPIGHI-1,"44.49325, 11.33966"
706946288764937020,Navile,Private room,48.0,1,0,,,353,0,,BOLOGNINA,EX MERCATO ORTOFRUTTICOLO,"44.51229, 11.34023"
707784650133440863,Porto - Saragozza,Entire home/apt,137.0,2,58,2023-12-10,3.94,140,47,037006-CV-00529,MARCONI,MARCONI-2,"44.50391020000001, 11.3362852"
709320286418309403,Porto - Saragozza,Entire home/apt,133.0,2,16,2024-03-21,0.86,100,8,,SAFFI,ZANARDI,"44.5016234085443, 11.327387015344236"
710957390367295560,Navile,Entire home/apt,114.0,1,17,2024-03-06,0.94,260,11,,BEVERARA,BEVERARA,"44.5161415, 11.3252312"
712887148050104567,San Donato - San Vitale,Private room,154.0,1,4,2023-09-27,0.32,362,3,,SAN DONATO VECCHIO,VIA DEL LAVORO,"44.50751, 11.36077"
713391286558560643,Santo Stefano,Entire home/apt,159.0,2,4,2023-09-21,0.23,272,1,,IRNERIO,IRNERIO-1,"44.49465, 11.34624"
713392003268761993,Porto - Saragozza,Entire home/apt,125.0,1,2,2023-01-02,0.12,192,0,,MALPIGHI,MALPIGHI-1,"44.49284, 11.33764"
713683769187828924,Santo Stefano,Entire home/apt,105.0,2,9,2024-01-28,0.76,87,9,037006-AT-02607,IRNERIO,IRNERIO-2,"44.49864489170673, 11.350675193762676"
714427072143398314,Santo Stefano,Entire home/apt,100.0,1,11,2024-01-07,0.62,222,5,,MURRI,DAGNINI,"44.48353, 11.37082"
714886094517389046,Navile,Entire home/apt,98.0,1,10,2023-09-24,0.56,30,4,,BOLOGNINA,ARCOVEGGIO,"44.51783, 11.34168"
721701047384803292,Santo Stefano,Entire home/apt,120.0,3,27,2024-01-01,1.53,140,19,037006-AT-02434,MURRI,SIEPELUNGA,"44.48014779571904, 11.35843601077795"
722904685411470904,Porto - Saragozza,Entire home/apt,99.0,1,40,2024-03-24,6.09,203,40,,MALPIGHI,MALPIGHI-2,"44.49737061683672, 11.329287726477904"
723022472920829046,Porto - Saragozza,Entire home/apt,300.0,2,27,2024-03-12,1.49,325,18,,MALPIGHI,MALPIGHI-1,"44.494, 11.33644"
725438253247542393,San Donato - San Vitale,Private room,61.0,3,15,2023-12-23,1.18,32,13,,SAN DONATO NUOVO,PILASTRO,"44.51363, 11.39069"
726543823117013393,Santo Stefano,Private room,133.0,1,41,2023-08-29,2.37,193,14,,MURRI,MEZZOFANTI,"44.4885292, 11.3632303"
729634598973973335,Santo Stefano,Entire home/apt,84.0,2,8,2023-07-15,0.46,137,3,,GALVANI,GALVANI-2,"44.48808, 11.34072"
739503809279122786,Porto - Saragozza,Entire home/apt,80.0,1,7,2024-03-18,0.45,340,6,,SARAGOZZA - SAN LUCA,STADIO-MELONCELLO,"44.49102, 11.30756"
739752312610648267,Navile,Entire home/apt,100.0,2,24,2024-03-23,1.42,115,20,,BOLOGNINA,VIA FERRARESE,"44.51191, 11.35244"
739822102284595879,San Donato - San Vitale,Private room,46.0,3,19,2023-12-01,1.14,71,18,,SAN DONATO VECCHIO,VIA DEL LAVORO,"44.50572, 11.36533"
740456123670896647,Porto - Saragozza,Entire home/apt,136.0,1,12,2023-10-29,0.8,169,8,,MARCONI,MARCONI-2,"44.49765, 11.33241"
741016701939923325,Santo Stefano,Entire home/apt,93.0,2,52,2024-01-01,3.31,329,43,037006-AT-02909,IRNERIO,IRNERIO-2,"44.49838596871696, 11.350707560777664"
741098031261023367,Borgo Panigale - Reno,Entire home/apt,,1,0,,,337,0,,BARCA,CANALE DI RENO,"44.49123, 11.30031"
742521406138875840,Santo Stefano,Entire home/apt,,5,0,,,358,0,,GALVANI,GALVANI-2,"44.48697, 11.348"
743355653222338245,Santo Stefano,Entire home/apt,159.0,2,9,2023-12-11,0.53,151,4,,IRNERIO,IRNERIO-2,"44.4991586, 11.3453828"
744092311516250082,Navile,Private room,81.0,2,6,2024-03-21,0.35,82,1,,BOLOGNINA,EX MERCATO ORTOFRUTTICOLO,"44.51042244959315, 11.33618038147688"
744107744754464953,Santo Stefano,Private room,73.0,1,0,,,343,0,Non e registrato,MURRI,MEZZOFANTI,"44.48261, 11.36213"
744113195348107421,Santo Stefano,Entire home/apt,137.0,2,30,2024-03-17,1.79,196,23,,IRNERIO,IRNERIO-2,"44.5000706, 11.3508523"
744211326005896627,Santo Stefano,Entire home/apt,133.0,2,37,2024-02-03,2.17,219,31,,GALVANI,GALVANI-2,"44.4901281, 11.348357284655783"
744935134056991518,Porto - Saragozza,Private room,79.0,1,92,2024-01-28,5.38,60,69,,MARCONI,MARCONI-2,"44.50017, 11.34091"
745679277220383248,Navile,Entire home/apt,180.0,2,2,2023-03-20,0.12,88,0,,BOLOGNINA,ARCOVEGGIO,"44.51255, 11.34579"
746890431158782965,Porto - Saragozza,Entire home/apt,181.0,2,11,2024-03-08,0.8,167,8,037006-CV-00667,MARCONI,MARCONI-2,"44.5041855, 11.338787"
750642905997298555,Navile,Private room,90.0,1,10,2023-09-29,0.79,153,7,,BOLOGNINA,VIA FERRARESE,"44.51709, 11.34813"
752207469930529096,Porto - Saragozza,Entire home/apt,111.0,3,24,2024-02-18,1.45,136,15,037006-AT-02235,SARAGOZZA - SAN LUCA,XXI APRILE,"44.495195, 11.3189664"
753536218640887449,Porto - Saragozza,Entire home/apt,71.0,1,26,2024-02-21,1.59,37,17,,SARAGOZZA - SAN LUCA,XXI APRILE,"44.49065076288918, 11.31869655510804"
755069338337667801,Navile,Entire home/apt,133.0,3,16,2023-11-17,0.97,90,5,037006-AT-02521,CORTICELLA - DOZZA,CROCE COPERTA,"44.53224, 11.35279"
755139804416800715,Santo Stefano,Entire home/apt,700.0,1,0,,,344,0,,GALVANI,GALVANI-2,"44.490198, 11.352223"
755158228928450768,Navile,Entire home/apt,421.0,1,0,,,352,0,,BOLOGNINA,ARCOVEGGIO,"44.5146803, 11.3421045"
757143652893336803,Santo Stefano,Entire home/apt,421.0,1,20,2024-03-20,2.99,318,20,037006-AT-03001,IRNERIO,IRNERIO-2,"44.5015763942436, 11.344586503704818"
758712311634834055,Santo Stefano,Entire home/apt,,1,1,2022-11-27,0.06,365,0,,GALVANI,GALVANI-2,"44.48682, 11.34842"
758782131666245925,Navile,Entire home/apt,,2,7,2023-04-30,0.51,0,5,,BOLOGNINA,VIA FERRARESE,"44.5216333, 11.350251"
760074745335156389,Porto - Saragozza,Entire home/apt,81.0,1,18,2024-03-24,1.47,168,17,,SARAGOZZA - SAN LUCA,XXI APRILE,"44.49563, 11.3197"
761017563591520112,Borgo Panigale - Reno,Entire home/apt,,2,0,,,3,0,037006-AT-02471,SANTA VIOLA,EMILIA PONENTE,"44.50467070000001, 11.3015011"
762336371226978109,Porto - Saragozza,Entire home/apt,154.0,1,37,2024-02-25,3.33,349,37,03469-CV-43821,SARAGOZZA - SAN LUCA,SAN GIUSEPPE,"44.4904763, 11.3268278"
763006881774461614,Navile,Private room,73.0,2,68,2024-03-03,4.21,161,48,037006-BB-01011,BOLOGNINA,PIAZZA DELL'UNITA',"44.5105539506479, 11.34927660226822"
764892893996628677,San Donato - San Vitale,Entire home/apt,134.0,1,13,2024-01-13,1.15,132,13,037006-AT-02639,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.48583714121799, 11.369034276721202"
765858339502774956,San Donato - San Vitale,Entire home/apt,66.0,1,14,2024-03-09,1.01,205,11,037006-CV-00198,SAN DONATO VECCHIO,MICHELINO,"44.5082, 11.37104"
766430886081737508,Porto - Saragozza,Entire home/apt,56.0,1,16,2024-03-08,1.22,36,15,037006-CV-00198,SARAGOZZA - SAN LUCA,STADIO-MELONCELLO,"44.4903318, 11.3093449"
767133862380650623,Porto - Saragozza,Entire home/apt,96.0,3,9,2023-09-09,0.61,152,7,037006-AT-02820,MALPIGHI,MALPIGHI-2,"44.48954, 11.33952"
768015407982695465,Navile,Entire home/apt,59.0,1,14,2024-02-04,0.6,350,7,,BOLOGNINA,EX MERCATO ORTOFRUTTICOLO,"44.5085155, 11.3342528"
768636684807176342,Porto - Saragozza,Private room,61.0,1,86,2024-03-17,5.39,74,66,037006-AF-09612,MARCONI,MARCONI-2,"44.50057, 11.34128"
772413546309690886,Savena,Entire home/apt,,20,0,,,0,0,,FOSSOLO - DUE MADONNE,FOSSOLO,"44.4833118, 11.3940728"
772892625758325932,Navile,Entire home/apt,127.0,1,0,,,253,0,037006-CP-00001,CORTICELLA - DOZZA,SAVENA ABBANDONATO,"44.52326, 11.37198"
774008868899436115,Santo Stefano,Entire home/apt,252.0,1,45,2024-03-15,2.86,321,32,037006-CV-00537,IRNERIO,IRNERIO-1,"44.4969611, 11.3475408"
774390387565781192,Savena,Entire home/apt,100.0,2,64,2024-01-28,4.29,90,53,,PONTEVECCHIO - MAZZINI,PONTEVECCHIO,"44.47828, 11.37754"
774667228886892793,Porto - Saragozza,Private room,85.0,2,27,2024-03-24,2.17,75,25,037006-BB-01042,SAFFI,ZANARDI,"44.50144, 11.32894"
778037580200701277,Santo Stefano,Private room,72.0,1,11,2024-03-16,0.74,330,7,,MURRI,SIEPELUNGA,"44.48213, 11.35904"
778226528309544607,San Donato - San Vitale,Entire home/apt,65.0,1,3,2023-05-02,0.24,38,1,,SAN DONATO VECCHIO,VIA DEL LAVORO,"44.5053641, 11.3574822"
779674614589683983,Savena,Entire home/apt,70.0,1,128,2024-03-17,8.35,141,98,,PONTEVECCHIO - MAZZINI,PONTEVECCHIO,"44.48188308806071, 11.37838352698365"
780368800069608111,Porto - Saragozza,Entire home/apt,555.0,2,1,2023-01-01,0.07,93,0,037006-AT-02315,MALPIGHI,MALPIGHI-2,"44.49137, 11.33567"
781784122464776907,Santo Stefano,Entire home/apt,81.0,1,6,2023-11-12,0.48,246,4,73567,GALVANI,GALVANI-2,"44.4874837, 11.3535844"
782305554896118955,Navile,Entire home/apt,69.0,1,10,2022-07-21,0.16,333,0,274639,BOLOGNINA,PIAZZA DELL'UNITA',"44.5084439, 11.3452132"
783882017011643375,San Donato - San Vitale,Private room,102.0,2,3,2023-05-22,0.24,55,2,,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.49297, 11.36255"
784036160835258438,Santo Stefano,Private room,70.0,1,18,2023-09-25,1.24,276,10,,GALVANI,GALVANI-2,"44.4879083, 11.3457748"
785312753086491113,Porto - Saragozza,Entire home/apt,112.0,4,21,2024-03-12,1.61,28,18,685891,MARCONI,MARCONI-2,"44.49983599999999, 11.3416047"
785950349312385672,Santo Stefano,Entire home/apt,210.0,3,24,2024-01-03,1.63,93,17,037006-AT-02755,MURRI,SIEPELUNGA,"44.48056, 11.36114"
786023085793592945,Santo Stefano,Entire home/apt,200.0,3,18,2024-02-12,1.35,135,16,037006-AT-02752,IRNERIO,IRNERIO-1,"44.4939608, 11.3481141"
786097308522476953,Navile,Private room,57.0,1,10,2024-02-02,0.81,7,9,,BEVERARA,BEVERARA,"44.51809133425046, 11.32443767040968"
786130423579015030,Navile,Entire home/apt,73.0,2,33,2023-12-01,2.2,33,27,037006-AT-03531,BOLOGNINA,PIAZZA DELL'UNITA',"44.50759, 11.34501"
787122597386969171,Santo Stefano,Entire home/apt,119.0,1,50,2024-03-10,3.33,75,38,,GALVANI,GALVANI-1,"44.49296, 11.34559"
787130495655692292,Santo Stefano,Entire home/apt,94.0,1,27,2024-03-17,1.8,75,20,,GALVANI,GALVANI-1,"44.494112, 11.3448215"
787617885771091314,San Donato - San Vitale,Entire home/apt,73.0,1,27,2023-05-07,0.49,270,2,,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.4930444, 11.3614884"
789943200108479773,Navile,Private room,64.0,2,3,2024-01-31,0.22,3,2,,CORTICELLA - DOZZA,CASERME ROSSE-MANIFATTURA,"44.52258, 11.35122"
790452362455503374,Santo Stefano,Entire home/apt,98.0,2,27,2024-03-17,2.02,210,21,,IRNERIO,IRNERIO-2,"44.4995531, 11.350663"
791484074811877120,San Donato - San Vitale,Private room,50.0,1,0,,,363,0,,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.49317625491892, 11.371206678450108"
791720039962620998,Santo Stefano,Entire home/apt,82.0,1,8,2024-03-03,0.53,273,6,,IRNERIO,IRNERIO-1,"44.4986982, 11.3444044"
792062388366447311,Santo Stefano,Entire home/apt,120.0,2,3,2023-10-01,0.23,204,2,037006-AT-02570,MURRI,DAGNINI,"44.4785183, 11.3712822"
792398480952592553,San Donato - San Vitale,Private room,102.0,1,134,2024-03-10,8.95,317,107,,CIRENAICA - MASSARENTI - SCANDELLARA,OSPEDALE SANT'ORSOLA,"44.48956, 11.36265"
798306702500276031,Porto - Saragozza,Entire home/apt,121.0,3,16,2024-01-05,1.24,271,14,,MALPIGHI,MALPIGHI-1,"44.4941, 11.33884"
798782357285533955,Navile,Entire home/apt,50.0,2,87,2024-03-21,6.0,184,70,,BEVERARA,BEVERARA,"44.523467, 11.331424"
801519436350275687,Santo Stefano,Private room,50.0,3,2,2023-11-05,0.34,26,2,,IRNERIO,IRNERIO-2,"44.50045, 11.34878"
801903206989962501,Navile,Entire home/apt,69.0,1,13,2024-02-19,0.43,312,3,,BOLOGNINA,PIAZZA DELL'UNITA',"44.5080487, 11.3420943"
801946002630413663,Navile,Entire home/apt,74.0,1,2,2023-08-30,0.2,314,2,,BOLOGNINA,PIAZZA DELL'UNITA',"44.5080487, 11.3420943"
801951896242361281,Navile,Entire home/apt,69.0,1,10,2024-03-05,0.32,324,5,,BOLOGNINA,PIAZZA DELL'UNITA',"44.5080487, 11.3420943"
801962226594830009,Porto - Saragozza,Entire home/apt,72.0,1,11,2024-02-16,0.46,3,2,,MARCONI,MARCONI-2,"44.4985625, 11.3368449"
802014838724310148,Porto - Saragozza,Private room,151.0,1,0,,,186,0,037006-AF-00299,MALPIGHI,MARCONI-1,"44.49729989999999, 11.3396194"
802025174332170353,Santo Stefano,Entire home/apt,81.0,1,6,2023-05-06,0.22,329,1,,IRNERIO,IRNERIO-1,"44.4934584, 11.3497372"
802049318386630053,Navile,Entire home/apt,66.0,1,2,2023-10-17,0.22,319,2,,BOLOGNINA,PIAZZA DELL'UNITA',"44.5080487, 11.3420943"
802061442180395596,Navile,Entire home/apt,58.0,1,2,2024-03-03,0.77,318,2,,BOLOGNINA,PIAZZA DELL'UNITA',"44.5080487, 11.3420943"
802116681713734539,Santo Stefano,Entire home/apt,143.0,2,33,2024-02-25,2.59,227,30,037006-AT-03015,GALVANI,GALVANI-2,"44.4868321, 11.3532649"
802131347631896066,San Donato - San Vitale,Private room,72.0,6,1,2023-03-21,0.08,357,0,,CIRENAICA - MASSARENTI - SCANDELLARA,GUELFA,"44.49234, 11.3781154"
802821434830717753,Porto - Saragozza,Entire home/apt,77.0,1,8,2023-08-08,0.4,315,4,,MARCONI,MARCONI-2,"44.4974542, 11.337492"
803346442143761707,Santo Stefano,Entire home/apt,91.0,1,10,2024-03-19,0.58,20,8,,GALVANI,GALVANI-1,"44.4918557, 11.3469924"
803376397793172561,Porto - Saragozza,Entire home/apt,113.0,3,66,2024-03-19,4.95,133,60,037006-AT-02544,MARCONI,MARCONI-2,"44.4982364, 11.3379148"
803444793619270373,Santo Stefano,Entire home/apt,105.0,1,8,2024-01-01,0.97,230,8,,GALVANI,GALVANI-2,"44.48958, 11.35038"
803553547707951311,Porto - Saragozza,Entire home/apt,81.0,1,7,2023-06-15,0.17,1,1,,MARCONI,MARCONI-2,"44.5000793, 11.3380508"
806399334536954100,San Donato - San Vitale,Private room,129.0,1,1,2023-04-11,0.09,229,1,037006-AF-00403,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.49567, 11.36291"
807133298234999131,Santo Stefano,Entire home/apt,68.0,3,30,2024-03-20,2.18,142,26,037006-CV-00865,GALVANI,GALVANI-2,"44.48868, 11.35763"
807883930695232969,Santo Stefano,Entire home/apt,83.0,1,65,2024-03-21,4.69,114,58,037006-AT-02683,GALVANI,GALVANI-2,"44.48883551959682, 11.34198434650898"
808401935712202527,Porto - Saragozza,Entire home/apt,86.0,1,2,2023-09-09,0.28,267,2,,SAFFI,ZANARDI,"44.5046261, 11.3317876"
809222863039921254,Santo Stefano,Entire home/apt,79.0,1,64,2024-03-16,5.26,302,64,,GALVANI,GALVANI-2,"44.48737, 11.34227"
810011528699067778,Navile,Entire home/apt,161.0,2,34,2023-11-26,2.54,218,28,037006-CV-00541,BOLOGNINA,PIAZZA DELL'UNITA',"44.508274, 11.340695"
811370485046953600,Porto - Saragozza,Private room,97.0,2,26,2024-03-23,2.04,291,25,,MALPIGHI,MALPIGHI-1,"44.49393, 11.34158"
811528468069776390,Navile,Private room,60.0,2,28,2024-02-27,2.34,43,28,,BOLOGNINA,VIA FERRARESE,"44.51313, 11.35297"
811529390377429735,Savena,Entire home/apt,30.0,10,5,2024-03-01,0.72,20,5,,FOSSOLO - DUE MADONNE,FOSSOLO,"44.48824, 11.38107"
812787334191564204,Santo Stefano,Private room,116.0,1,17,2024-02-18,1.47,142,17,,IRNERIO,IRNERIO-1,"44.49655, 11.34742"
812915578127012184,Santo Stefano,Entire home/apt,134.0,1,11,2024-03-11,0.93,304,11,,IRNERIO,IRNERIO-1,"44.4953827, 11.3466349"
812925436436761167,San Donato - San Vitale,Entire home/apt,60.0,1,11,2024-03-10,0.91,280,11,,SAN DONATO VECCHIO,VIA DEL LAVORO,"44.5038955, 11.3639162"
812926170043427496,Santo Stefano,Entire home/apt,118.0,1,13,2024-03-08,1.01,321,12,,IRNERIO,IRNERIO-2,"44.4955196, 11.3535213"
