id,Quartiere,room_type,Prezzo,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_reviews_ltm,license,Zona di prossimità,Area statistica,Coordinate
3515960,Santo Stefano,Entire home/apt,96.0,2,231,2023-10-30,2.52,237,27,,IRNERIO,IRNERIO-2,"44.49111, 11.35587"
3573615,Santo Stefano,Private room,39.0,26,10,2024-01-31,0.09,323,2,,IRNERIO,IRNERIO-2,"44.49045, 11.35647"
3600856,Santo Stefano,Entire home/apt,155.0,2,4,2023-09-25,0.03,226,3,CIR: 037006-AT-03099,GALVANI,GALVANI-2,"44.48709487915039, 11.352633476257324"
3794422,San Donato - San Vitale,Entire home/apt,85.0,2,125,2024-02-25,1.08,14,3,,SAN DONATO VECCHIO,VIA DEL LAVORO,"44.50989, 11.3576"
4056393,Porto - Saragozza,Entire home/apt,142.0,2,96,2024-03-17,0.84,92,57,037006-AT-00326,MALPIGHI,MARCONI-1,"44.49689, 11.33809"
4111283,Santo Stefano,Entire home/apt,139.0,3,347,2024-02-25,3.13,236,33,037006AT00346,GALVANI,GALVANI-2,"44.48784, 11.35047"
4147236,Santo Stefano,Entire home/apt,90.0,2,497,2024-03-20,4.3,179,60,,GALVANI,GALVANI-2,"44.48631, 11.34088"
4170216,Santo Stefano,Entire home/apt,300.0,10,28,2016-09-29,0.24,363,0,,IRNERIO,IRNERIO-2,"44.49575, 11.35193"
4216780,San Donato - San Vitale,Entire home/apt,80.0,1,124,2023-10-01,1.08,0,3,,CIRENAICA - MASSARENTI - SCANDELLARA,VIA LARGA,"44.50474, 11.38184"
4256731,Santo Stefano,Entire home/apt,60.0,2,2,2014-10-12,0.02,0,0,,MURRI,DAGNINI,"44.4837, 11.37261"
4267676,Porto - Saragozza,Entire home/apt,78.0,4,72,2023-10-12,0.64,83,7,,MALPIGHI,MALPIGHI-2,"44.49489, 11.33028"
4852502,Santo Stefano,Entire home/apt,96.0,1,179,2023-09-23,1.63,5,2,,GALVANI,GALVANI-2,"44.49055, 11.34923"
4870519,Porto - Saragozza,Private room,60.0,1,57,2024-02-04,0.53,292,11,037006-BB-00277,MALPIGHI,MALPIGHI-2,"44.49522, 11.33001"
5012513,Porto - Saragozza,Entire home/apt,87.0,2,301,2024-02-20,2.73,22,22,,MALPIGHI,MALPIGHI-1,"44.49469, 11.33891"
5013391,Porto - Saragozza,Private room,97.0,2,89,2024-01-01,0.81,192,26,,MALPIGHI,MALPIGHI-1,"44.49412, 11.33886"
5033080,Porto - Saragozza,Entire home/apt,74.0,3,130,2024-03-04,1.22,154,2,,MALPIGHI,MALPIGHI-2,"44.49258, 11.33192"
5125479,Porto - Saragozza,Entire home/apt,114.0,2,95,2023-11-20,0.86,270,8,,MALPIGHI,MALPIGHI-2,"44.493314938039504, 11.334967389047266"
5131580,Porto - Saragozza,Entire home/apt,500.0,1,169,2023-10-26,7.2,350,103,P.G.N 87363/2022 in data 21/02/2022,MALPIGHI,MALPIGHI-2,"44.497032, 11.333184"
5229284,Porto - Saragozza,Entire home/apt,89.0,2,91,2024-02-19,0.84,38,23,PG 47810/06,MARCONI,MARCONI-2,"44.50421, 11.33705"
5315089,Porto - Saragozza,Entire home/apt,100.0,1,587,2024-03-21,5.37,235,93,,MARCONI,MARCONI-2,"44.50185, 11.34215"
5437583,Borgo Panigale - Reno,Private room,75.0,1,100,2024-03-21,0.91,318,23,,SANTA VIOLA,EMILIA PONENTE,"44.50661, 11.29698"
5458272,San Donato - San Vitale,Entire home/apt,219.0,1,231,2024-03-17,2.11,143,36,037006-AT-00433,SAN DONATO VECCHIO,VIA MONDO,"44.502, 11.36158"
5509330,Santo Stefano,Entire home/apt,145.0,2,61,2023-09-24,0.65,269,7,99322/28.02.2022 ( CIR: 037006-AT-02211 ),IRNERIO,IRNERIO-2,"44.49902, 11.35469"
5530453,Santo Stefano,Entire home/apt,99.0,2,97,2024-02-18,0.89,35,13,,IRNERIO,IRNERIO-1,"44.49866, 11.34594"
5663061,Porto - Saragozza,Entire home/apt,152.0,2,306,2024-03-10,2.82,97,44,,MALPIGHI,MALPIGHI-1,"44.49256, 11.33822"
5837131,Santo Stefano,Entire home/apt,84.0,3,308,2024-03-13,2.84,42,38,037006-AT-03011,GALVANI,GALVANI-2,"44.48927, 11.34877"
5856975,Porto - Saragozza,Private room,94.0,2,30,2023-11-18,0.29,269,3,,MARCONI,MARCONI-2,"44.49759, 11.33328"
5864670,Porto - Saragozza,Private room,99.0,2,24,2023-10-22,0.27,277,2,,MARCONI,MARCONI-2,"44.4981, 11.33339"
5952668,Porto - Saragozza,Entire home/apt,112.0,3,497,2024-03-11,4.58,171,46,037006-CV-00868,MALPIGHI,MALPIGHI-2,"44.49664587552365, 11.329940868592145"
6150628,Porto - Saragozza,Entire home/apt,234.0,2,102,2024-01-07,0.96,23,11,037006-CV-00385,MALPIGHI,MALPIGHI-2,"44.49678, 11.32967"
6353643,Navile,Entire home/apt,93.0,1,81,2020-03-08,0.75,84,0,,BOLOGNINA,PIAZZA DELL'UNITA',"44.50858, 11.34626"
6445982,San Donato - San Vitale,Entire home/apt,156.0,1,51,2023-11-26,0.47,159,4,,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.49391, 11.36149"
6473456,San Donato - San Vitale,Entire home/apt,130.0,1,39,2023-09-09,0.36,158,4,,CIRENAICA - MASSARENTI - SCANDELLARA,CIRENAICA,"44.49444, 11.36155"
6478617,Porto - Saragozza,Private room,116.0,1,112,2023-10-01,1.05,28,3,CIR 037006-AF-00154,MARCONI,MARCONI-2,"44.49846, 11.33643"
6581339,Porto - Saragozza,Entire home/apt,100.0,2,162,2024-03-22,1.54,106,37,037006-AT-02696,MALPIGHI,MALPIGHI-2,"44.48924, 11.33721"
6711629,Porto - Saragozza,Private room,116.0,1,66,2019-11-24,0.62,29,0,CIR 037006-AF-00154,MARCONI,MARCONI-2,"44.49836, 11.3382"
6711715,Porto - Saragozza,Private room,95.0,1,37,2024-01-21,0.35,22,8,CIR 037006-AF-00154,MARCONI,MARCONI-2,"44.49846, 11.33643"
6909146,Santo Stefano,Private room,87.0,1,125,2023-12-28,1.18,332,11,,IRNERIO,IRNERIO-2,"44.50204, 11.35001"
7138583,Porto - Saragozza,Private room,69.0,2,109,2024-02-25,1.03,57,16,037006-BB-00653,MARCONI,MARCONI-2,"44.49706, 11.33371"
7155821,San Donato - San Vitale,Entire home/apt,106.0,3,29,2024-03-17,0.28,11,6,,CIRENAICA - MASSARENTI - SCANDELLARA,OSPEDALE SANT'ORSOLA,"44.491, 11.3598"
7164887,Porto - Saragozza,Entire home/apt,50.0,3,210,2024-03-05,1.99,22,27,,MALPIGHI,MALPIGHI-2,"44.4953, 11.32841"
7508130,Borgo Panigale - Reno,Entire home/apt,69.0,1,315,2024-02-03,3.0,56,5,,SANTA VIOLA,EMILIA PONENTE,"44.50366, 11.30306"
7555420,Santo Stefano,Private room,49.0,1,191,2024-03-10,1.93,2,37,037006-AF-00172,IRNERIO,IRNERIO-2,"44.4996, 11.34797"
7746682,Porto - Saragozza,Private room,83.0,2,97,2023-02-26,0.93,164,0,,MALPIGHI,MARCONI-1,"44.49839, 11.33988"
7767032,Porto - Saragozza,Private room,63.0,2,145,2024-03-10,1.48,9,18,,MALPIGHI,MALPIGHI-2,"44.49119, 11.33804"
7772868,Porto - Saragozza,Entire home/apt,102.0,2,183,2024-03-18,1.77,132,45,037006-AT-00415,MALPIGHI,MALPIGHI-1,"44.4926, 11.34199"
7835050,Navile,Entire home/apt,189.0,2,0,,,236,0,,BOLOGNINA,PIAZZA DELL'UNITA',"44.508419, 11.351015"
7858288,Porto - Saragozza,Private room,40.0,2,571,2023-10-08,5.47,55,37,,MALPIGHI,MALPIGHI-2,"44.49099, 11.34158"
7980504,Navile,Private room,51.0,1,110,2024-03-24,1.08,342,54,,CORTICELLA - DOZZA,SAN SAVINO,"44.54255, 11.3525"
8126369,Porto - Saragozza,Entire home/apt,65.0,90,22,2023-04-07,0.25,107,1,,SARAGOZZA - SAN LUCA,XXI APRILE,"44.49272, 11.32153"
8331727,Borgo Panigale - Reno,Entire home/apt,,2,30,2024-02-10,0.29,272,5,,SANTA VIOLA,EMILIA PONENTE,"44.50492, 11.3008"
8642390,Porto - Saragozza,Entire home/apt,146.0,3,35,2024-03-04,0.34,211,13,037006-AT-02226,MARCONI,MARCONI-2,"44.50381, 11.34061"
8695792,Santo Stefano,Entire home/apt,106.0,2,383,2024-03-21,3.79,242,47,,OSSERVANZA - PADERNO,SAN MICHELE IN BOSCO,"44.485306, 11.340084"
8697489,Santo Stefano,Entire home/apt,112.0,1,178,2024-03-10,1.75,97,11,037006-CV-00152,IRNERIO,IRNERIO-2,"44.501881, 11.351547"
8702765,Santo Stefano,Entire home/apt,159.0,2,329,2024-01-05,3.35,205,26,,IRNERIO,IRNERIO-2,"44.50166, 11.34535"
8853909,Porto - Saragozza,Private room,102.0,1,17,2023-10-18,0.17,143,1,,SARAGOZZA - SAN LUCA,SAN GIUSEPPE,"44.49107, 11.32913"
9180592,San Donato - San Vitale,Private room,43.0,3,70,2024-01-01,0.71,319,13,,SAN DONATO VECCHIO,VIA MONDO,"44.49917, 11.37046"
9206841,Savena,Private room,37.0,2,28,2024-03-24,0.28,87,6,037006-BB-01156,PONTEVECCHIO - MAZZINI,PONTEVECCHIO,"44.47822570800781, 11.377643585205078"
9432704,Porto - Saragozza,Private room,70.0,2,8,2023-09-08,0.11,241,3,,MALPIGHI,MALPIGHI-2,"44.49827, 11.32785"
9467321,San Donato - San Vitale,Private room,25.0,2,45,2019-06-28,0.45,0,0,,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.48899, 11.36816"
9501027,Santo Stefano,Entire home/apt,157.0,3,144,2024-03-11,1.44,35,25,037006-AT-00752,IRNERIO,IRNERIO-1,"44.49548, 11.34685"
9677394,San Donato - San Vitale,Entire home/apt,1200.0,1,69,2018-04-28,0.73,181,0,,CROCE DEL BIACCO - ROVERI,CROCE DEL BIACCO,"44.49215, 11.39166"
9728883,Santo Stefano,Entire home/apt,618.0,1,25,2023-03-25,0.25,142,0,037006-CV-00235,GALVANI,GALVANI-1,"44.49109, 11.35103"
9892840,Santo Stefano,Entire home/apt,310.0,3,12,2023-10-22,0.12,207,7,,IRNERIO,IRNERIO-1,"44.49479675292969, 11.346049308776855"
9897929,Porto - Saragozza,Entire home/apt,115.0,1,226,2024-02-18,2.27,356,26,022350-CV-48639,MALPIGHI,MARCONI-1,"44.49668, 11.3375"
9937528,Porto - Saragozza,Private room,150.0,1,2,2023-07-17,0.22,327,2,,SARAGOZZA - SAN LUCA,XXI APRILE,"44.49225, 11.32143"
