Geo Point;Geo Shape;Tipo di arredo;Data Aggiornamento;quartiere;area statistica;zona prossimita;Stato di conservazione
44.47406959058443, 11.387344127525305;"{""coordinates"": [11.387344127525305, 44.47406959058443], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-09;Savena;BITONE;PONTEVECCHIO - MAZZINI;BUONO
44.4740184159897, 11.387302793974333;"{""coordinates"": [11.387302793974333, 44.4740184159897], ""type"": ""Point""}";Cestino in metallo;2005-10-09;Savena;BITONE;PONTEVECCHIO - MAZZINI;BUONO
44.48130532519754, 11.381358015929033;"{""coordinates"": [11.381358015929033, 44.48130532519754], ""type"": ""Point""}";Bacheche informative;2005-10-20;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.48138079916919, 11.381451412480185;"{""coordinates"": [11.381451412480185, 44.48138079916919], ""type"": ""Point""}";Cestino in metallo;2019-05-16;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.48139958858861, 11.381477092716203;"{""coordinates"": [11.381477092716203, 44.48139958858861], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-20;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.48143856851892, 11.381532058560966;"{""coordinates"": [11.381532058560966, 44.48143856851892], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-20;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.481361363650095, 11.381781369155062;"{""coordinates"": [11.381781369155062, 44.481361363650095], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-20;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.4812388645942, 11.381665525106232;"{""coordinates"": [11.381665525106232, 44.4812388645942], ""type"": ""Point""}";Cestino in metallo;2019-05-16;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.481171969335975, 11.38182860736061;"{""coordinates"": [11.38182860736061, 44.481171969335975], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-20;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.481130219694265, 11.3819789795406;"{""coordinates"": [11.3819789795406, 44.481130219694265], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-20;Savena;PONTEVECCHIO;PONTEVECCHIO - MAZZINI;BUONO
44.47363977733907, 11.391810852714451;"{""coordinates"": [11.391810852714451, 44.47363977733907], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.473652462335124, 11.391735027387673;"{""coordinates"": [11.391735027387673, 44.473652462335124], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47368939378263, 11.391580993664343;"{""coordinates"": [11.391580993664343, 44.47368939378263], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.473705513254664, 11.39151104403479;"{""coordinates"": [11.39151104403479, 44.473705513254664], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47382021080983, 11.390938783509066;"{""coordinates"": [11.390938783509066, 44.47382021080983], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47385334100671, 11.390761328937092;"{""coordinates"": [11.390761328937092, 44.47385334100671], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47385525978712, 11.390739861703036;"{""coordinates"": [11.390739861703036, 44.47385525978712], ""type"": ""Point""}";Cestino in metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.473887851901445, 11.390691945823056;"{""coordinates"": [11.390691945823056, 44.473887851901445], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47391281789052, 11.39114850151902;"{""coordinates"": [11.39114850151902, 44.47391281789052], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47392119641601, 11.391169363441959;"{""coordinates"": [11.391169363441959, 44.47392119641601], ""type"": ""Point""}";Portabici;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47319239192881, 11.391175526677667;"{""coordinates"": [11.391175526677667, 44.47319239192881], ""type"": ""Point""}";Cestino in metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47370863064812, 11.38893522756998;"{""coordinates"": [11.38893522756998, 44.47370863064812], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47369499787703, 11.389173941162303;"{""coordinates"": [11.389173941162303, 44.47369499787703], ""type"": ""Point""}";Portabici;2024-01-16;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.473002715018985, 11.390448272198341;"{""coordinates"": [11.390448272198341, 44.473002715018985], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;SCADENTE
44.47316508655923, 11.390587609440287;"{""coordinates"": [11.390587609440287, 44.47316508655923], ""type"": ""Point""}";Cestino in metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.473431182841324, 11.390727893272548;"{""coordinates"": [11.390727893272548, 44.473431182841324], ""type"": ""Point""}";Cestino in metallo;2005-10-17;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.474774283215716, 11.380879360631125;"{""coordinates"": [11.380879360631125, 44.474774283215716], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-20;Savena;BITONE;PONTEVECCHIO - MAZZINI;DISCRETO
44.47303217614224, 11.382936441911736;"{""coordinates"": [11.382936441911736, 44.47303217614224], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-30;Savena;CAVEDONE;PONTEVECCHIO - MAZZINI;DISCRETO
44.47281523354917, 11.382794110861603;"{""coordinates"": [11.382794110861603, 44.47281523354917], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-30;Savena;CAVEDONE;PONTEVECCHIO - MAZZINI;DISCRETO
44.516880994196896, 11.278847768820144;"{""coordinates"": [11.278847768820144, 44.516880994196896], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-22;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51698765354334, 11.278936375909657;"{""coordinates"": [11.278936375909657, 44.51698765354334], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-22;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.51738569513272, 11.27946109501514;"{""coordinates"": [11.27946109501514, 44.51738569513272], ""type"": ""Point""}";Panchina in legno e metallo;2009-03-03;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.51918407286796, 11.276054021440139;"{""coordinates"": [11.276054021440139, 44.51918407286796], ""type"": ""Point""}";Dissuasore;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.519725493378616, 11.275186111477192;"{""coordinates"": [11.275186111477192, 44.519725493378616], ""type"": ""Point""}";Dissuasore;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.519739824174806, 11.275192988758779;"{""coordinates"": [11.275192988758779, 44.519739824174806], ""type"": ""Point""}";Dissuasore;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.51728017157053, 11.277640778670227;"{""coordinates"": [11.277640778670227, 44.51728017157053], ""type"": ""Point""}";Cestino in metallo;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.517224886324854, 11.27776605676096;"{""coordinates"": [11.27776605676096, 44.517224886324854], ""type"": ""Point""}";Cestino in metallo;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.51740195981556, 11.277589633088551;"{""coordinates"": [11.277589633088551, 44.51740195981556], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.517396989539506, 11.277558140091209;"{""coordinates"": [11.277558140091209, 44.517396989539506], ""type"": ""Point""}";Fontana in ghisa;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.51734451783363, 11.277462197511328;"{""coordinates"": [11.277462197511328, 44.51734451783363], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.51738517556774, 11.277308403108183;"{""coordinates"": [11.277308403108183, 44.51738517556774], ""type"": ""Point""}";Cestino in metallo;2005-09-21;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.520600231026, 11.272392736322669;"{""coordinates"": [11.272392736322669, 44.520600231026], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-02;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.52042792112338, 11.273185272811908;"{""coordinates"": [11.273185272811908, 44.52042792112338], ""type"": ""Point""}";Cestino in metallo;2005-11-02;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.52024614132253, 11.273289380923197;"{""coordinates"": [11.273289380923197, 44.52024614132253], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-02;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.520270758033064, 11.27318739505405;"{""coordinates"": [11.27318739505405, 44.520270758033064], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-02;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.52033238891416, 11.273100574598764;"{""coordinates"": [11.273100574598764, 44.52033238891416], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-02;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.52029715120427, 11.27294684764936;"{""coordinates"": [11.27294684764936, 44.52029715120427], ""type"": ""Point""}";Dissuasore;2005-11-02;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.5198928044797, 11.274214647951183;"{""coordinates"": [11.274214647951183, 44.5198928044797], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.52055657645719, 11.274398425790151;"{""coordinates"": [11.274398425790151, 44.52055657645719], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-03;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.520192569205754, 11.27376173209017;"{""coordinates"": [11.27376173209017, 44.520192569205754], ""type"": ""Point""}";Cestino in metallo;2005-11-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.52020003702251, 11.273904559599353;"{""coordinates"": [11.273904559599353, 44.52020003702251], ""type"": ""Point""}";Cestino in metallo;2005-11-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.521163041218436, 11.274326610866236;"{""coordinates"": [11.274326610866236, 44.521163041218436], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.521155770195, 11.274345596815841;"{""coordinates"": [11.274345596815841, 44.521155770195], ""type"": ""Point""}";Panchina in legno e metallo;2005-11-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.52105089268059, 11.274651073589778;"{""coordinates"": [11.274651073589778, 44.52105089268059], ""type"": ""Point""}";Cestino in metallo;2005-11-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.52103863037606, 11.274689184325059;"{""coordinates"": [11.274689184325059, 44.52103863037606], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-26;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51758708822006, 11.280363155259383;"{""coordinates"": [11.280363155259383, 44.51758708822006], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-09;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51788575848795, 11.279693040651967;"{""coordinates"": [11.279693040651967, 44.51788575848795], ""type"": ""Point""}";Cestino in metallo;2005-10-09;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51803493959316, 11.279421864827185;"{""coordinates"": [11.279421864827185, 44.51803493959316], ""type"": ""Point""}";Cestino in metallo;2005-09-26;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51804105345864, 11.27944757554464;"{""coordinates"": [11.27944757554464, 44.51804105345864], ""type"": ""Point""}";Panchina in legno e metallo;2008-05-20;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.5180517025169, 11.279412098110583;"{""coordinates"": [11.279412098110583, 44.5180517025169], ""type"": ""Point""}";Panchina in legno e metallo;2008-05-20;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.518073269587084, 11.279493500083799;"{""coordinates"": [11.279493500083799, 44.518073269587084], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-26;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.51814062455068, 11.279651596711822;"{""coordinates"": [11.279651596711822, 44.51814062455068], ""type"": ""Point""}";Cestino in metallo;2006-07-25;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
44.51813904579962, 11.280029918989449;"{""coordinates"": [11.280029918989449, 44.51813904579962], ""type"": ""Point""}";Bacheche informative;2005-09-26;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.518128389898706, 11.280068639469338;"{""coordinates"": [11.280068639469338, 44.518128389898706], ""type"": ""Point""}";Cestino in metallo;2005-09-26;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;DISCRETO
44.51819110444947, 11.276768242421793;"{""coordinates"": [11.276768242421793, 44.51819110444947], ""type"": ""Point""}";Cestino in metallo;2005-09-20;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;SCADENTE
