Geo Point;Geo Shape;Edizione bilancio partecipativo;Progetto;Quartiere;Luogo;Attuazione;Stato;Descrizione;Beneficiario;Importo;Link;area statistica;zona di prossimità
44.49161220807293, 11.37829986060685;"{""coordinates"": [[11.37829986060685, 44.49161220807293]], ""type"": ""MultiPoint""}";2023;Case Go Green;San Donato - San Vitale;Casa di Quartiere Scipione dal Ferro, Casa di Quartiere Pilastro, Casa di Quartiere Ca’ Solare, Casa di Quartiere Ruozi, Casa di Quartiere Frassinetti, Casa di Quartiere Italicus, Casa Di Quartiere Croce del Biacco, Casa Di Quartiere Graf;candidato al voto;;Realizzare in ognuna delle otto Case di Quartiere del territorio una casetta dell’acqua polifunzionale e percorsi di sensibilizzazione ed educazione ambientale che permetteranno di generare un cambiamento duraturo e virtuoso sull’utilizzo dell’acqu;Cittadinanza in generale;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-go-green;GUELFA;CIRENAICA - MASSARENTI - SCANDELLARA
44.51100350449943, 11.392662387821584;"{""coordinates"": [[11.387199180994157, 44.50799154985326], [11.39812559464901, 44.514015459145604]], ""type"": ""MultiPoint""}";2023;Case Go Green;San Donato - San Vitale;Casa di Quartiere Scipione dal Ferro, Casa di Quartiere Pilastro, Casa di Quartiere Ca’ Solare, Casa di Quartiere Ruozi, Casa di Quartiere Frassinetti, Casa di Quartiere Italicus, Casa Di Quartiere Croce del Biacco, Casa Di Quartiere Graf;candidato al voto;;Realizzare in ognuna delle otto Case di Quartiere del territorio una casetta dell’acqua polifunzionale e percorsi di sensibilizzazione ed educazione ambientale che permetteranno di generare un cambiamento duraturo e virtuoso sull’utilizzo dell’acqu;Cittadinanza in generale;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-go-green;PILASTRO;SAN DONATO NUOVO
44.50367550316001, 11.373810738877438;"{""coordinates"": [[11.373810738877438, 44.50367550316001]], ""type"": ""MultiPoint""}";2023;Case Go Green;San Donato - San Vitale;Casa di Quartiere Scipione dal Ferro, Casa di Quartiere Pilastro, Casa di Quartiere Ca’ Solare, Casa di Quartiere Ruozi, Casa di Quartiere Frassinetti, Casa di Quartiere Italicus, Casa Di Quartiere Croce del Biacco, Casa Di Quartiere Graf;candidato al voto;;Realizzare in ognuna delle otto Case di Quartiere del territorio una casetta dell’acqua polifunzionale e percorsi di sensibilizzazione ed educazione ambientale che permetteranno di generare un cambiamento duraturo e virtuoso sull’utilizzo dell’acqu;Cittadinanza in generale;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-go-green;MICHELINO;SAN DONATO VECCHIO
44.502379359818896, 11.349650581084784;"{""coordinates"": [[11.346402569238604, 44.502824230824814], [11.352898592930963, 44.50193448881298]], ""type"": ""MultiPoint""}";2023;Aria al Verde;Santo Stefano;Parco Montagnola, Strade quadrilatero fino a Orto Botanico, Il Pallone;candidato al voto;;Trasformare dei luoghi di transito in luoghi frequentati, conviviali, accoglienti e verdi, dove tutti i residenti e le residenti possano di nuovo sentirsi in un Borgo di qualità, attraverso piste ciclabili e la realizzazione di attività ludiche-cultura;Residenti in particolare bambini, adolescenti e anziani e frequentatori dell’area (turisti e studenti);;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/aria-al-verde;IRNERIO-2;IRNERIO
44.444160325959096, 11.305919352930225;"{""coordinates"": [[11.305919352930225, 44.444160325959096]], ""type"": ""MultiPoint""}";2023;Nuovo Cavaioni 2.3;Santo Stefano;Parco Cavaioni;candidato al voto;;Il progetto mira a rendere il Parco Cavaioni uno spazio accogliente e rigenerativo che trasmette un messaggio del “vivere bene”, la proposta progettuale permetterà di vivere i colli bolognesi come un’esperienza immersiva nel verde a tutti i livell;Cittadinanza, turisti italiani e stranieri;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/nuovo-cavaioni-2-3;PADERNO;OSSERVANZA - PADERNO
44.482648405466875, 11.343324735583096;"{""coordinates"": [[11.343324735583096, 44.482648405466875]], ""type"": ""MultiPoint""}";2023;San Mamolo gioca!;Santo Stefano;Via San Mamolo, Via Bellombra, Giardino Carlo Descovich, Giardino Norma Mascellani;candidato al voto;;Realizzare aree di aggregazione per gli adolescenti, interventi di pedonalità sicura e attività di valorizzazione del patrimonio storico-culturale, per permettere agli adolescenti di fruire di spazi di aggregazione sociale, culturale e sportiva;I cittadini, con particolare attenzione per adolescenti, famiglie e anzian;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/san-mamolo-gioca;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO
44.4709862387904, 11.395589734804217;"{""coordinates"": [[11.393765189667242, 44.47067650408346], [11.397414279941191, 44.47129597349735]], ""type"": ""MultiPoint""}";2023;Tra parchi, borghi e corti lungo il Savena;Savena;Parco dei Cedri, Parco Lungosavena, Parco Paleotto e ARCI Benassi;vincitore;;Riqualificare le aree verdi e i punti di aggregazione al Parco dei Cedri, Parco del Paleotto e Parco del Lungosavena (in particolare Corte Bellaria), potenziando i collegamenti ciclopedonali e incentivando luoghi d’interesse come circolo ARCI Benassi;Tutte le persone, con particolare attenzione a famiglie, bambini, persone con disabilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/tra-parchi-borghi-e-corti-lungo-il-savena;VIA ARNO;PONTEVECCHIO - MAZZINI
44.4692181038348, 11.386012398113202;"{""coordinates"": [[11.386012398113202, 44.4692181038348]], ""type"": ""MultiPoint""}";2023;Villaggio Portazza;Savena;Zona via Firenze, via Osoppo, via Padova, via Pieve di Cadore, via Vicenza, via Portazza, via Mazzoni;candidato al voto;;Si propone di realizzare interventi per collegare con percorsi ciclopedonali sicuri i parchi circostanti, inserire arredi urbani e organizzare attività educative, ludiche e di sensibilizzazione ambientale [..];Tutti le persone residenti nella zona compresa tra via Torino - Parco Lungosavena ed estensivamente del quartiere/San Lazzaro di Savena;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/villaggio-portazza;VIA ARNO;PONTEVECCHIO - MAZZINI
44.50275276428682, 11.269548337470493;"{""coordinates"": [[[11.270320464278, 44.5024723681788], [11.2702124933022, 44.502522478847], [11.2698084226309, 44.5026715105781], [11.2694613202534, 44.5028020283029], [11.2692221651114, 44.5028730220725], [11.268941652163, 44.5029379611342], [11.2687584201524, 44.5029765517801]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;RIGOSA;BORGO PANIGALE
44.51148291478621, 11.283545337688498;"{""coordinates"": [[[11.2833589844881, 44.5111843844108], [11.2837316908889, 44.5117814451616]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
