Geo Point;Geo Shape;Edizione bilancio partecipativo;Progetto;Quartiere;Luogo;Attuazione;Stato;Descrizione;Beneficiario;Importo;Link;area statistica;zona di prossimità
44.49017557088966, 11.311455435951707;"{""coordinates"": [[[11.311407368481373, 44.49010168532823], [11.31150350342204, 44.490249456451096]]], ""type"": ""MultiLineString""}";2023;Uniamo i giardini!;Porto - Saragozza;Piazza della Pace, Giardino Bandiera De Coubertin, Portico Meloncello-Saragozza, Villa Spada, via Bandiera, via XXI Aprile, via Curiel, via Turati e Giardino del Barone Rampante;candidato al voto;;Realizzare interventi di riqualificazione degli spazi per favorire lo svolgimento di eventi e iniziative culturali e percorsi volti al benessere e all’inclusione e permettere a cittadini e frequentatori di vivere meglio gli spazi verdi all’aperto;Cittadini, turisti, famiglie con minori e con particolare attenzione per le persone con fragilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/uniamo-i-giardini;STADIO-MELONCELLO;SARAGOZZA - SAN LUCA
44.481212200153756, 11.373706962688406;"{""coordinates"": [[[11.374465728930808, 44.48002278863271], [11.375035917610054, 44.48079846629342]], [[11.375035917610054, 44.48079846629342], [11.371363902515716, 44.482181642125575]], [[11.375606106289299, 44.48058149456005], [11.375035917610054, 44.48079846629342]]], ""type"": ""MultiLineString""}";2023;Qualità di vita e spazi di socialità e cultura;Santo Stefano;via Nadi, via Pellizza da Volpedo, via Dagnini, via degli Orti - Ragno, piazza Carducci;candidato al voto;;Il progetto propone di realizzare nella zona Murri-Galvani percorsi pedonali sicuri e attività di educazione alimentare a basso impatto climatico, per permettere  a tutta la cittadinanza di valorizzare la pedonalità e la cultura gastronomica;Adolescenti, anziani, disabili, tutta la cittadinanza;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/qualita-di-vita-e-spazi-di-socialita-e-cultura;DAGNINI;MURRI
44.48135279689775, 11.337584323586253;"{""coordinates"": [[[11.335981036531415, 44.479396871754396], [11.336238146345044, 44.47978211229181], [11.336546678121392, 44.48009397181621], [11.33677807695366, 44.48039665740759], [11.336893776369788, 44.480745202506995], [11.336855209897744, 44.48102954038802], [11.336816643425703, 44.481295532635116], [11.337163741674095, 44.48173579300005], [11.337613683847943, 44.48220356599755], [11.338282169363367, 44.48274471047236], [11.338912088406754, 44.483331708972855], [11.339053498804244, 44.483643549523954], [11.339033858171552, 44.48345262676615]], [[11.338923767874418, 44.48247941229441], [11.338871419629031, 44.482353001493344]], [[11.338464927269548, 44.48170965143425], [11.338197748912997, 44.48135427751496]], [[11.337969438736287, 44.48085675554326], [11.337837047998539, 44.48068672962584], [11.337833607438197, 44.48066776628504]], [[11.337780235383187, 44.48037359546167], [11.337772770545136, 44.4803324515043], [11.337785626035817, 44.47990135289506], [11.33772168748309, 44.479613701298824]], [[11.337695965205068, 44.47949797996927], [11.337618809790078, 44.47915086735359]], [[11.337579593020493, 44.47897443598488], [11.33757511737591, 44.47895430061657]]], ""type"": ""MultiLineString""}";2023;San Mamolo gioca!;Santo Stefano;Via San Mamolo, Via Bellombra, Giardino Carlo Descovich, Giardino Norma Mascellani;candidato al voto;;Realizzare aree di aggregazione per gli adolescenti, interventi di pedonalità sicura e attività di valorizzazione del patrimonio storico-culturale, per permettere agli adolescenti di fruire di spazi di aggregazione sociale, culturale e sportiva;;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/san-mamolo-gioca;OSSERVANZA;OSSERVANZA - PADERNO
44.48172948558165, 11.33847735058396;"{""coordinates"": [[[11.339033857613085, 44.4834526213374], [11.339002076841524, 44.483143686658615], [11.338969938114818, 44.482831843435584], [11.338995649096184, 44.482652991423144], [11.338923767874418, 44.48247941229441]], [[11.338871419629031, 44.482353001493344], [11.338828527717324, 44.48224942589347], [11.33853285143166, 44.48179999735903], [11.338464927269548, 44.48170965143425]], [[11.338197748912997, 44.48135427751496], [11.338177718501587, 44.4813276350657], [11.338092550875826, 44.481082280326525], [11.338013810995404, 44.4809137416602], [11.337969419707548, 44.48085673110515]], [[11.337833607750856, 44.48066776800832], [11.337780235383187, 44.48037359546167]], [[11.33772168748309, 44.479613701298824], [11.33769593454851, 44.47949784204922]], [[11.337618809790078, 44.47915086735359], [11.337579593020493, 44.47897443598488]]], ""type"": ""MultiLineString""}";2023;San Mamolo gioca!;Santo Stefano;Via San Mamolo, Via Bellombra, Giardino Carlo Descovich, Giardino Norma Mascellani;candidato al voto;;Realizzare aree di aggregazione per gli adolescenti, interventi di pedonalità sicura e attività di valorizzazione del patrimonio storico-culturale, per permettere agli adolescenti di fruire di spazi di aggregazione sociale, culturale e sportiva;;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/san-mamolo-gioca;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO
44.499616702068664, 11.330823670077853;"{""coordinates"": [[11.330823670077853, 44.499616702068664]], ""type"": ""MultiPoint""}";2019/20;Nanetti Basket Garden;Porto Saragozza;Giardino Decorato al Valor Civile, via Graziano;in corso di realizzazione;in progettazione;Al parco Nanetti canestri perfetti... e non solo!;"Tutti i residenti del territorio, gli studenti delle scuole Gandino Guidi, le loro famiglie; tutti gli amanti del basket e dello sport in generale; coloro che desiderano tenersi in forma a qualsiasi età, ma anche chi ama rilassarsi nel verde [..]";136000.0;;MARCONI-2;MARCONI
44.507271, 11.278072;"{""coordinates"": [[11.278072, 44.507271]], ""type"": ""MultiPoint""}";2018;Nuovo parco delle querce;Borgo Panigale - Reno;Parco delle Querce, tra via de Nicola e via Galeazza;realizzato;finito;Un'area verde per tutte le età più attrattiva, sicura e fruibile, con nuovi giochi e attrezzature;I cittadini di Casteldebole in particolare bambini (dei nidi, materne, elementari, medie), genitori, nonni, ragazzi/e, adulti sportivi;115000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.477546349263456, 11.37371882689365;"{""coordinates"": [[11.37371882689365, 44.477546349263456]], ""type"": ""MultiPoint""}";2017;Rigenerazione parco Lunetta Gamberini;Santo Stefano;Parco Lunetta Gamberini, via Laura Bassi Veratti 20;realizzato;finito;Arredi, spazi attrezzati, giochi e orti per il parco Lunetta Gamberini e l'area antistante le scuole Marconi;Tutti i frequentatori del Parco;130000.0;;DAGNINI;MURRI
44.47661109095942, 11.38265164250524;"{""coordinates"": [[11.38265164250524, 44.47661109095942]], ""type"": ""MultiPoint""}";2017;Giardino diffuso in via Lombardia;Savena;via Lombardia, da incrocio via Emilia fino a via Lombardia n. 36;realizzato;finito;Spazi verdi riqualificati in via Lombardia e piazza Belluno;"Anziani, bambini, giovani che frequentano le zone e gli spazi verdi interessati; commercianti delle zone limitrofe; istituzioni educative locali";110000.0;;BITONE;PONTEVECCHIO - MAZZINI
44.52225472030351, 11.315361837859792;"{""coordinates"": [[11.315361837859792, 44.52225472030351]], ""type"": ""MultiPoint""}";2017;Piazza Pizzoli;Navile;Area verde via Zanardi vicino al campetto da calcio e piazzetta del comparto ACER Agucchi-Zanardi;realizzato;finito;Un nuovo spazio pubblico nella zona Pescarola, una piazza senza barriere architettoniche, per le cittadine e i cittadini;Tutti i cittadini dell’area con particolare attenzione a ragazzi, ragazze, disabili, giovani e famiglie;110000.0;;PESCAROLA;BERTALIA - NOCE
44.50198611670883, 11.257454698130795;"{""coordinates"": [[11.257454698130795, 44.50198611670883]], ""type"": ""MultiPoint""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;finito;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;RIGOSA;BORGO PANIGALE
44.49581023676753, 11.364250159724474;"{""coordinates"": [[11.364250159724474, 44.49581023676753]], ""type"": ""MultiPoint""}";2017;Recupero del museo archeologico all'aperto della Cirenaica;San Donato - San Vitale;Via Bentivogli 36-38;candidato al voto;;Manutenzione delle teche contenenti copie di reperti etruschi;Gli abitanti del quartiere, le scuole di Bologna, la città tutta per il suo patrimonio storico, visitatori stranieri;60000.0;;CIRENAICA;CIRENAICA - MASSARENTI - SCANDELLARA
44.5017862984882, 11.36511354409179;"{""coordinates"": [[11.36511354409179, 44.5017862984882]], ""type"": ""MultiPoint""}";2017;Riqualificazione via Amaseo e piazza Mickiewicz;San Donato - San Vitale;Via Amaseo e Piazza Mickiewicz (con futuro sviluppo sulle altre vie della zona);candidato al voto;;Nuovi arredi urbani e una pista ciclabile per la valorizzazione della via e delle due piazze;Residenti dell’area interessata e fruitori della zona per ragioni di studio o lavoro;130000.0;;VIA MONDO;SAN DONATO VECCHIO
44.47819994888645, 11.374802226490518;"{""coordinates"": [[11.374802226490518, 44.47819994888645]], ""type"": ""MultiPoint""}";2017;Riqualificazione degli spazi del centro sociale Lunetta Gamberini;Santo Stefano;Centro sociale Lunetta-Gamberini;candidato al voto;;Un luogo più vivibile per i bisogni dela comunità;Famiglie, bambini, giovani, anziani, fasce deboli;130000.0;;DAGNINI;MURRI
44.470368099950605, 11.397797105690161;"{""coordinates"": [[11.397797105690161, 44.470368099950605]], ""type"": ""MultiPoint""}";2017;Parco dei cedri nel cuore;Savena;Parco dei Cedri ex corte rurale e Oasi a libera evoluzione;candidato al voto;;Riqualificazione delle corti per farne spazi di aggregazione;Ragazzi disabili grandi e piccoli, alunni delle scuole, mamme e nonne, anziani residenti, chi frequenta il Parco, la comunità in generale di tutte le età [..];75000.0;;VIA ARNO;PONTEVECCHIO - MAZZINI
44.50739116792411, 11.278634244877852;"{""coordinates"": [[11.278634244877852, 44.50739116792411]], ""type"": ""MultiPoint""}";2018;Il muro che unisce;Borgo Panigale - Reno;Parco delle Querce, in corrispondenza della piattaforma asfaltata con il muro;candidato al voto;;Cinema, giochi e informazioni all’aperto al Parco delle Querce;Il progetto si rivolge a cittadini di ogni età, giovani che voglono migliorare il loro inglese, ragazzi stranieri che possono sentirsi parte del quartiere tramite la proiezione di film anche di diverse nazionalità e culture, scuole che organizzano work;130000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.511170057284566, 11.281527797661061;"{""coordinates"": [[11.281527797661061, 44.511170057284566]], ""type"": ""MultiPoint""}";2018;Social sport;Borgo Panigale - Reno;Giardino degli Olmi, via Giuseppe Giacosa;candidato al voto;;Un nuovo modo di vivere il Giardino degli Olmi;Adolescenti e preadolescenti che frequentano lo spazio, gruppi socio-educativi (CAV, Borghini, Hip-hop, educativa di strada, tigrotti, scuole medie ed elementari), gruppi giovanili delle parrocchie [..], tutti i residenti della zona;130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
44.504106115634215, 11.278745420351443;"{""coordinates"": [[11.278745420351443, 44.504106115634215]], ""type"": ""MultiPoint""}";2018;Via libera all'accessibilità!;Borgo Panigale - Reno;Via De Nicola fronte/retro n.ri 11-9-7, via La Malfa;candidato al voto;;Riqualificazione della zona 3 torri Casteldebole;Cittadini, residenti, bambini;80000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.497222081102194, 11.301499072235591;"{""coordinates"": [[11.301499072235591, 44.497222081102194]], ""type"": ""MultiPoint""}";2019/20;Più green per tutti;Borgo Panigale - Reno;Parco Nicholas Green;candidato al voto;;Riqualificazione del parco Nicholas Green per migliorarne la fruibilità, l’accessibilità e l’utilizzo per attività sportive;Utilizzatori del parco, chi fa o vorrebbe iniziare a fare attività fisica all’aperto;136000.0;;CANALE DI RENO;BARCA
44.54751708223171, 11.362708901946476;"{""coordinates"": [[11.362708901946476, 44.54751708223171]], ""type"": ""MultiPoint""}";2018;"Il giardino di Ilaria: un progetto ""a sei zampe""";Navile;Giardino Guido Grandi (dietro palestra IC4 via Shakespeare 23);candidato al voto;;Rivalutare un angolo verde dimenticato, “osservandolo” e vivendolo dal punto di vista del nostro cane;I cittadini, proprietari di cani e non, bambini e ragazzi che vogliono conoscere il mondo della cinofilia e aprirsi al mondo del volontariato in campo ambientale e animale;50000.0;;SAN SAVINO;CORTICELLA - DOZZA
44.54902746894564, 11.358871622793519;"{""coordinates"": [[11.358871622793519, 44.54902746894564]], ""type"": ""MultiPoint""}";2018;Un'oasi dei saperi;Navile;Ex centro Avicolo, via Pesci 17;candidato al voto;;Recupero dell’ex-centro Avicolo per la creazione di un laboratorio didattico su ambiente e sostenibilità;Cittadini e cittadine di ogni genere ed età, scuole di ogni ordine e grado, associazioni;130000.0;;SAN SAVINO;CORTICELLA - DOZZA
44.486555917251536, 11.316603511218139;"{""coordinates"": [[11.316603511218139, 44.486555917251536]], ""type"": ""MultiPoint""}";2018;La metropolitane dei passi;Porto Saragozza;"dorsale di Via Saragozza; Piazza della Pace e collegamento ciclopedonale con i giardini Giacomo Bulgarelli e Bandiera-De Coubertin; collegamento pedonale tra via Felice Battaglia e via di Casaglia";candidato al voto;;Ricucitura urbana tra spazi pubblici e aree verdi tra collina e città - La proposta intende realizzare interventi di “ricucitura” con una segnaletica coordinata diffusa per rendere più facilmente fruibili e accessibili i percorsi esistenti [..];Cittadini, turisti e City Users, studenti, sportivi;130000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.49065749844919, 11.32936795576145;"{""coordinates"": [[11.32936795576145, 44.49065749844919]], ""type"": ""MultiPoint""}";2018;Passeggiate 2.0;Porto Saragozza;Arco Bonaccorsi, arco del Meloncello, villa delle Rose, villa Spada, teatro Il Celebrazioni, eventualmente anche la chiesa di San Giuseppe con annesso giardino e cinema;candidato al voto;;"Camminare connessi sotto i portici e nei parchi di via Saragozza- Il progetto ha l'obiettivo di diffondere hotspot wi-fi, cioè punti di accesso libero per connettersi a Internet, lungo il portico di Via Saragozza [..]";Cittadini, turisti, studenti;30000.0;;SAN GIUSEPPE;SARAGOZZA - SAN LUCA
44.49009501257533, 11.311160249158974;"{""coordinates"": [[11.311160249158974, 44.49009501257533]], ""type"": ""MultiPoint""}";2018;Passeggiate 2.0;Porto Saragozza;Arco Bonaccorsi, arco del Meloncello, villa delle Rose, villa Spada, teatro Il Celebrazioni, eventualmente anche la chiesa di San Giuseppe con annesso giardino e cinema;candidato al voto;;"Camminare connessi sotto i portici e nei parchi di via Saragozza- Il progetto ha l'obiettivo di diffondere hotspot wi-fi, cioè punti di accesso libero per connettersi a Internet, lungo il portico di Via Saragozza [..]";Cittadini, turisti, studenti;30000.0;;STADIO-MELONCELLO;SARAGOZZA - SAN LUCA
44.489380088397, 11.314002042197272;"{""coordinates"": [[11.314002042197272, 44.489380088397]], ""type"": ""MultiPoint""}";2018;Passeggiate 2.0;Porto Saragozza;Arco Bonaccorsi, arco del Meloncello, villa delle Rose, villa Spada, teatro Il Celebrazioni, eventualmente anche la chiesa di San Giuseppe con annesso giardino e cinema;candidato al voto;;"Camminare connessi sotto i portici e nei parchi di via Saragozza- Il progetto ha l'obiettivo di diffondere hotspot wi-fi, cioè punti di accesso libero per connettersi a Internet, lungo il portico di Via Saragozza [..]";Cittadini, turisti, studenti;30000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.48730419535389, 11.314108479422067;"{""coordinates"": [[11.314108479422067, 44.48730419535389]], ""type"": ""MultiPoint""}";2018;Passeggiate 2.0;Porto Saragozza;Arco Bonaccorsi, arco del Meloncello, villa delle Rose, villa Spada, teatro Il Celebrazioni, eventualmente anche la chiesa di San Giuseppe con annesso giardino e cinema;candidato al voto;;"Camminare connessi sotto i portici e nei parchi di via Saragozza- Il progetto ha l'obiettivo di diffondere hotspot wi-fi, cioè punti di accesso libero per connettersi a Internet, lungo il portico di Via Saragozza [..]";Cittadini, turisti, studenti;30000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.489526547779235, 11.31257036341372;"{""coordinates"": [[11.31257036341372, 44.489526547779235]], ""type"": ""MultiPoint""}";2018;Passeggiate 2.0;Porto Saragozza;Arco Bonaccorsi, arco del Meloncello, villa delle Rose, villa Spada, teatro Il Celebrazioni, eventualmente anche la chiesa di San Giuseppe con annesso giardino e cinema;candidato al voto;;"Camminare connessi sotto i portici e nei parchi di via Saragozza- Il progetto ha l'obiettivo di diffondere hotspot wi-fi, cioè punti di accesso libero per connettersi a Internet, lungo il portico di Via Saragozza [..]";Cittadini, turisti, studenti;30000.0;;STADIO-MELONCELLO;SARAGOZZA - SAN LUCA
44.4933220143911, 11.397522088224472;"{""coordinates"": [[11.397522088224472, 44.4933220143911]], ""type"": ""MultiPoint""}";2018;L'officina di Piazza dei Colori;San Donato - San Vitale;Piazza dei Colori;candidato al voto;;Spazi di aggregazione, socialità, cultura e lavoro;Cittadini, giovani e adolescenti, associazioni del territorio, frequentatori di Piazza dei Colori e delle varienattività organizzate nella zona;130000.0;;CROCE DEL BIACCO;CROCE DEL BIACCO - ROVERI
44.50185232466797, 11.34769235589206;"{""coordinates"": [[11.34769235589206, 44.50185232466797]], ""type"": ""MultiPoint""}";2018;Aria al Pallone;Santo Stefano;In prossimità del centro sociale anziani in via del Pallone, nell’area che collega la strada al parco della Montagnola;candidato al voto;;Un nuovo percorso percorso nel verde tra il centro sociale e la Montagnola;Residenti, utenti del centro sociale Pallone e dello Sferisterio, fruitori del parco;100000.0;;IRNERIO-2;IRNERIO
44.497518410997905, 11.353361503982487;"{""coordinates"": [[11.353361503982487, 44.497518410997905]], ""type"": ""MultiPoint""}";2018;Qualcosa di nuovo sotto il sole;Santo Stefano;Piazza Puntoni;candidato al voto;;Riqualificazione di piazza Puntoni;Residenti dell’area, bambini, studenti, turisti, anziani, adolescenti;60000.0;;IRNERIO-2;IRNERIO
44.49742120292304, 11.35021050406176;"{""coordinates"": [[11.35021050406176, 44.49742120292304]], ""type"": ""MultiPoint""}";2018;Un bel Guasto;Santo Stefano;Giardino del Guasto;candidato al voto;;Restauro artistico del giardino del Guasto con nuovi arredi;Bambini, studenti, turisti, senzatetto e frequentatori in genere;55000.0;;IRNERIO-2;IRNERIO
44.446482337033, 11.35456630838006;"{""coordinates"": [[11.35456630838006, 44.446482337033]], ""type"": ""MultiPoint""}";2018;Vieni nel parco anche tu!;Savena;Parco del Paleotto;candidato al voto;;Riscoprire il parco del Paleotto;Bambini, scolaresche, giovani, sportivi, anziani e più in generale tutti i cittadini che frequentano gli spazi;130000.0;;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO
44.52648043533627, 11.351925061745096;"{""coordinates"": [[11.351925061745096, 44.52648043533627]], ""type"": ""MultiPoint""}";2019/20;Pa.Gi.Ca.Ro - Parco Giochi Caserme Rosse;Navile;Parco delle Caserme Rosse, Via di Corticella, 147/2;candidato al voto;;Riqualificazione e valorizzazione del parco delle Caserme Rosse;Le famiglie, la comunità delle Caserme Rosse, i ciclisti che transitano nella zona;136000.0;;CASERME ROSSE-MANIFATTURA;CORTICELLA - DOZZA
44.5253318434228, 11.345574610047766;"{""coordinates"": [[11.345574610047766, 44.5253318434228]], ""type"": ""MultiPoint""}";2019/20;Parco al Quadrato;Navile;Giardino pubblico situato tra via Francesca Edera De Giovanni, via Zaniboni e via Arcoveggio;candidato al voto;;"Riqualificazione del giardino tra via De Giovanni, via Zaniboni e via
dell’Arcoveggio";Residenti del quartiere, ciclisti, fruitori degli esercizi commerciali nelle vicinanze;136000.0;;CASERME ROSSE-MANIFATTURA;CORTICELLA - DOZZA
44.51598917144082, 11.35335827012198;"{""coordinates"": [[11.35335827012198, 44.51598917144082]], ""type"": ""MultiPoint""}";2019/20;Viva Giardino Guido Rossa;Navile;Giardino Guido Rossa - Via Alfonso Lombardi 49;candidato al voto;;Valorizzazione del Giardino Guido Rossa e realizzazione di un playground per adolescenti;I beneficiari sono tutti i cittadini della zona, con particolare riferimento a bambini, adolescenti e anziani;136000.0;;VIA FERRARESE;BOLOGNINA
44.50328838965807, 11.343757794507123;"{""coordinates"": [[11.343757794507123, 44.50328838965807]], ""type"": ""MultiPoint""}";2019/20;De Amicis: una scuola più verde e più accessibile;Porto Saragozza;Giardino scuola dell'infanzia De Amicis - IC18;candidato al voto;;"Riqualificazione del giardino della scuola dell'infanzia IC18 e superamento delle
barriere architettoniche della palestra";"I bambini della scuola dell’infanzia, gli operatori scolastici, le famiglie degli alunni e gli
utenti della palestra";136000.0;;MARCONI-2;MARCONI
44.50039920361311, 11.336486500348244;"{""coordinates"": [[11.336486500348244, 44.50039920361311]], ""type"": ""MultiPoint""}";2019/20;Manifattura 365;Porto Saragozza;Parco 11 settembre 2001;candidato al voto;;Riqualificazione del Parco 11 settembre come luogo di aggregazione e socialità per tutti e per tutto l’anno;Famiglie, bambini, disabili (persone con sfida sociale);136000.0;;MARCONI-2;MARCONI
44.50199595238442, 11.334745767772864;"{""coordinates"": [[11.334745767772864, 44.50199595238442]], ""type"": ""MultiPoint""}";2019/20;Terr’azzo Gardino;Porto Saragozza;Piazzetta Pasolini, Piazzetta Magnani, via Azzo Gardino;candidato al voto;;Aumento di verde e di ombra e creazione di un forno sociale in via Azzo Gardino e nelle sue piazzette;fruitori del Mercato Ritrovato, della Cineteca e del Mercato delle Erbe, del Centro Giorgio Costa, dei Festival della Cineteca, delle scuole dell’infanzia Viganò e Mago Merlino, della scuola di danza Bolognadanza, del parcheggio Apcoa Rivareno [..;136000.0;;MARCONI-2;MARCONI
44.49059445840736, 11.372958554122444;"{""coordinates"": [[11.372958554122444, 44.49059445840736]], ""type"": ""MultiPoint""}";2019/20;Progetto Giardino Novara;San Donato - San Vitale;Giardino Novara, Via Angelo Venturoli;candidato al voto;;Riqualificazione, sistemazione e vivibilità;Comunità residenti, persone anziane, persone che usufruiscono servizi (edicola, bar panetterie, Coop, CUP), persone con cani, persone che frequentano i bar e i servizi della zona;136000.0;;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA
44.50092751320039, 11.38667139877121;"{""coordinates"": [[11.38667139877121, 44.50092751320039]], ""type"": ""MultiPoint""}";2019/20;Un nuovo “Spiraglio di Parco”;San Donato - San Vitale;Parco Campagna via Larga;candidato al voto;;"Riqualificazione del Parco Campagna per valorizzare la sua vocazione
agricola, sportiva e la sua piccola centuriazione";Sportivi, bambini, frequentatori del IC7, residenti della zona e di tutta la città;136000.0;;VIA LARGA;CIRENAICA - MASSARENTI - SCANDELLARA
44.494897561510534, 11.330973737330915;"{""coordinates"": [[11.330973737330915, 44.494897561510534]], ""type"": ""MultiPoint""}";2023;Biblioteca ed emeroteca del Pratello;Porto - Saragozza;Porta Pratello;candidato al voto;;Realizzare la “Biblioteca ed emeroteca del Pratello” negli spazi di via Pietralata, per consentire a tutti i frequentatori dell’area di leggere, studiare, lavorare in spazi condivisi, incontrarsi e confrontarsi, grazie all'inserimento di arredi ade;Bambine e bambini, studentesse e studenti e in generale la tutta la cittadinanza;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/biblioteca-ed-emeroteca-del-pratello;MALPIGHI-2;MALPIGHI
44.50290370265711, 11.25615567012936;"{""coordinates"": [[11.25615567012936, 44.50290370265711]], ""type"": ""MultiPoint""}";2023;Case di Quartiere accessibili a tutte le persone;Borgo Panigale - Reno;Spazi esterni delle Case di Quartiere Villa Bernaroli, Il Parco, Santa Viola;candidato al voto;;Realizzare nelle Case di Quartiere Villa Bernaroli, Il Parco e Santa Viola percorsi adatti a persone con disabilità visive e motorie e parchi giochi inclusivi, oltre ad attività culturali,  di educazione e di sensibilizzazione [..];Tutti i cittadini, bambini e bambine e persone con disabilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-di-quartiere-accessibili-a-tutte-le-persone;RIGOSA;BORGO PANIGALE
44.51543860961754, 11.341888008030413;"{""coordinates"": [[11.341888008030413, 44.51543860961754]], ""type"": ""MultiPoint""}";2023;Com'in;Navile;Giardino Donatori di Sangue e Casa di Quartiere Fondo Comini;vincitore;;Riqualificare gli spazi della Casa di Quartiere Fondo Comini e del parco annesso, al fine di favorire l’integrazione tra culture e generazioni per permettere a diverse realtà di vivere uno spazio multiculturale, pulito, sicuro, accessibile [..];Famiglie, anziani/e, migranti, giovani;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/com-in;ARCOVEGGIO;BOLOGNINA
44.51346955751196, 11.350407753976091;"{""coordinates"": [[11.350407753976091, 44.51346955751196]], ""type"": ""MultiPoint""}";2023;Esperienza urbana in sicurezza;Navile;Parco della Zucca, vie che collegano scuole e luoghi di interesse storico e culturale al parco;candidato al voto;;Permettere ai bambini, ai turisti e ai visitatori della Bolognina di raggiungere il parco in sicurezza e di fruire di gioco e cultura grazie all’inserimento di una segnaletica dedicata e alla valorizzazione estetica del Parco della Zucca;Bambini delle scuole elementari e medie, turisti e visitatori in generale;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/esperienza-urbana-in-sicurezza;VIA FERRARESE;BOLOGNINA
44.52142287870083, 11.330673187256979;"{""coordinates"": [[11.330673187256979, 44.52142287870083]], ""type"": ""MultiPoint""}";2023;Piazza scolastisca Beverara;Navile;Scuola primaria Bottego, da ingresso via Beverara per arrivare fino alla Scuola secondaria di primo grado Salvo D’Acquisto;candidato al voto;;Realizzare  in via Beverara di fronte alle scuole Bottego una piazza scolastica che permetterà alle famiglie della zona di fruire di uno spazio di aggregazione più sicuro e collegato[..];Tutte le famiglie della zona e bambini anche oltre l’età scolastica;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/piazza-scolastica-beverara;BEVERARA;BEVERARA
44.50061488923698, 11.313695389800385;"{""coordinates"": [[11.313695389800385, 44.50061488923698]], ""type"": ""MultiPoint""}";2023;Piazza Velodromo;Porto - Saragozza;Parco del Velodromo e vie limitrofe;candidato al voto;;Il progetto mira alla riqualificazione del Parco del Velodromo e, in particolare, propone di realizzare azioni di manutenzione dei campi da calcio e da basket con semi-copertura, per permettere alle persone di  incontrarsi e vivere gli spazi pubblici;Cittadini e cittadine della zona;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/piazza-velodromo;VELODROMO;SAFFI
44.49566068500119, 11.363964428932459;"{""coordinates"": [[11.363964428932459, 44.49566068500119]], ""type"": ""MultiPoint""}";2023;Restauro e fruizione Teche Villanoviane;San Donato - San Vitale;Cirenaica, via Giuseppe Bentivogli, 34/36;candidato al voto;;Il progetto propone di restaurare le teche Villanoviane e di organizzare visite guidate, permettendo a gruppi organizzati di residenti e classi delle scuole secondarie di primo e secondo grado di usufruire di percorsi educativi e didattici;Residenti in Cirenaica, scuole secondarie di primo e secondo grado del quartiere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/restauro-e-fruizione-teche-villanoviane;CIRENAICA;CIRENAICA - MASSARENTI - SCANDELLARA
44.48662624124288, 11.315387199178822;"{""coordinates"": [[11.313961946855336, 44.48720945674002], [11.316812451502308, 44.486043025745744]], ""type"": ""MultiPoint""}";2023;Uniamo i giardini!;Porto - Saragozza;Piazza della Pace, Giardino Bandiera De Coubertin, Portico Meloncello-Saragozza, Villa Spada, via Bandiera, via XXI Aprile, via Curiel, via Turati e Giardino del Barone Rampante;candidato al voto;;Realizzare interventi di riqualificazione degli spazi per favorire lo svolgimento di eventi e iniziative culturali e percorsi volti al benessere e all’inclusione e permettere a cittadini e frequentatori di vivere meglio gli spazi verdi all’aperto;Cittadini, turisti, famiglie con minori e con particolare attenzione per le persone con fragilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/uniamo-i-giardini;RAVONE;SARAGOZZA - SAN LUCA
